Link,bus0,bus1,p_nom,carrier,underwater_fraction,efficiency,length,capital_cost,p_nom_min,p_min_pu,p_nom_max,marginal_cost,p_nom_opt,type,build_year,lifetime,p_nom_mod,p_nom_extendable,p_set,p_max_pu,marginal_cost_quadratic,stand_by_cost,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
1_fwd,p38,p23,190.0,DC,0.0,0.9684788871398095,695.2073469553062,21689.73103315074,0.0,0.0,20190.0,0.009164221353345086,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
2_fwd,p39,p24,95.0,DC,0.0,0.9759052581596729,218.96917940530068,11969.820562078348,0.0,0.0,20095.0,0.009573574176266846,95.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
3_fwd,p39,p33,190.0,DC,0.0,0.9788734316542199,350.74504288333486,8117.815295330879,0.0,0.0,20190.0,0.010983463825906176,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
4_fwd,p52,p34,200.0,DC,0.0,0.9743394140903721,457.4562175377358,14038.342071645795,0.0,0.0,20200.0,0.010120844603288383,200.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
5_fwd,p48,p31,190.0,DC,0.0,0.9655670697486045,428.02072787647614,25463.184297775675,0.0,0.0,20190.0,0.010575634866801006,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
6_fwd,p47,p59,190.0,DC,0.0,0.9675833156435363,440.3102990733439,22833.42812798839,0.0,0.0,20190.0,0.009064964932012814,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
7_fwd,p50,p63,190.0,DC,0.0,0.9773949435654936,378.3022634125078,10046.315152126412,0.0,0.0,20190.0,0.00916815242826654,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
8_fwd,p85,p57,550.0,DC,0.0,0.9751361468068228,404.23192547047836,12989.776515084974,0.0,0.0,20550.0,0.009218466396203351,550.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
9_fwd,p25,p10,2300.0,DC,0.0,0.9540283285798011,1051.096692239575,40557.78121681604,0.0,0.0,22300.0,0.00903057168867755,2300.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
10_fwd,p5,p10,3000.0,DC,0.0,0.9321070147514833,1590.1568445674975,69172.1569515525,0.0,0.0,23000.0,0.010843957937314668,3000.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
