,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26273.94,,26273.94,0.0,1.0,79855163.67,1238808.37,252.06,1361612.63,51.82
Generator,Fixed Bottom Offshore Wind,5374.19,5221.0,25787378.88,,25787378.88,0.0,0.55,9172.49,302491116.04,255227.16,914241546.86,35.45
Generator,Floating Offshore Wind,12483.77,,61025606.89,,61025606.89,0.0,0.56,26646.33,3452445850.05,562766.76,3453007567.62,56.58
Generator,Geothermal,2182.0,2182.0,15030540.38,,15030540.38,0.0,0.79,8346181.37,862836622.43,45743112.98,762372054.95,50.72
Generator,Hydrogen Combustion Turbine,130145.15,,55285628.69,,55285628.69,0.0,0.05,1084785926.86,12488940404.5,11128434118.58,23617365711.85,427.19
Generator,Nuclear,407382.69,13916.8,2572100060.54,,2572100060.54,0.0,0.72,882094216.15,135911745827.4,29711215608.18,168388311050.34,65.47
Generator,Onshore Wind,217331.41,8266.7,606337661.06,,606337661.06,0.0,0.32,400109556.87,21564167701.81,-7595482183.54,14476711967.33,23.88
Generator,Reservoir & Dam,104965.94,104965.94,283148598.08,,283148598.08,0.0,0.31,3356354.36,19212311500.64,2787676.68,12889608486.08,45.52
Generator,Solar,931595.2,88806.8,1361131873.62,,1361131873.62,0.0,0.17,163465485.47,36039680983.09,13391050.45,39978048901.35,29.37
Generator,Waste,224.3,224.3,1636744.78,,1636744.78,0.0,0.83,14365088.84,,3336414.02,85881755.57,52.47
Link,Ac,1354838.42,1354838.42,1573664777.76,1604546397.67,-30881619.91,1604244575.55,0.14,0.0,10881462872.08,15977135.06,5544180188.91,3.52
Link,Dc,20160.0,20160.0,27748458.6,28794706.94,-1046248.34,28794706.94,0.16,0.0,790521708.43,282435.94,577322736.16,20.81
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-290096693913.02,
StorageUnit,4Hr_Battery_Storage,111272.25,,125266745.13,148889130.81,-23622385.68,0.0,0.28,998367262.58,8618158254.4,1335800.13,8619477152.03,68.81
StorageUnit,8Hr_Battery_Storage,70663.81,,144041236.48,170291433.57,-26250197.09,0.0,0.51,645265193.07,8998944328.75,1500944.19,9000427313.42,62.49
StorageUnit,Battery Storage,35511.0,35511.0,31510859.41,37581600.8,-6070741.39,0.0,0.22,317147101.39,798322791.0,349213.53,1788379694.91,56.75
