,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26276.36,,26276.36,0.0,1.0,79855161.25,1238808.37,263.88,1362864.11,51.87
Generator,Fixed Bottom Offshore Wind,7349.59,5221.0,37161818.32,,37161818.32,0.0,0.58,175928.64,741189258.95,371779.57,1477574507.46,39.76
Generator,Floating Offshore Wind,0.03,,122.22,,122.22,0.0,0.46,16.44,8333.71,1.16,7108.06,58.17
Generator,Geothermal,2182.0,2182.0,15569383.52,,15569383.52,0.0,0.81,7807338.23,862836622.43,47384139.86,757475217.94,48.65
Generator,Hydrogen Combustion Turbine,111413.02,,49802637.6,,49802637.6,0.0,0.05,926175458.26,10691374778.87,10024771429.52,20716136717.42,415.96
Generator,Nuclear,410549.54,13916.8,2518731033.13,,2518731033.13,0.0,0.7,962766874.6,136979012753.05,29097738114.94,168841675952.39,67.03
Generator,Onshore Wind,285432.51,8266.7,827390928.27,,827390928.27,0.0,0.33,453534425.24,28571066320.47,-10474887530.99,18598884134.43,22.48
Generator,Reservoir & Dam,104965.94,104965.94,283015796.4,,283015796.4,0.0,0.31,3489156.04,19212311500.64,2823965.06,12762148632.59,45.09
Generator,Solar,878284.04,88806.8,1245004116.87,,1245004116.87,0.0,0.16,188537881.24,33834806335.74,12500859.47,37873672050.5,30.42
Generator,Waste,224.3,224.3,1679437.73,,1679437.73,0.0,0.85,14322395.88,,3422637.72,86401552.49,51.45
Link,Ac,1354838.42,1354838.42,1733320270.09,1766968763.76,-33648493.67,1766542402.43,0.15,0.0,10881462872.08,17664754.08,7219896500.1,4.17
Link,Dc,20160.0,20160.0,29804109.76,30971940.08,-1167830.32,30971940.08,0.18,0.0,790521708.43,308766.41,615077415.55,20.64
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-287767082778.21,
StorageUnit,4Hr_Battery_Storage,113888.8,,107120524.7,130588570.65,-23468045.95,0.0,0.24,1021133963.64,8820813494.21,1341038.17,8822138323.11,82.36
StorageUnit,8Hr_Battery_Storage,63983.69,,106617024.24,127115095.73,-20498071.5,0.0,0.42,580995233.79,8148240014.48,1157290.0,8149380549.49,76.44
StorageUnit,Battery Storage,35511.0,35511.0,27995086.81,33955028.32,-5959941.52,0.0,0.2,317036301.52,798322791.0,330320.75,1845254661.22,65.91
