,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p1 biomass,p1,Biomass,0.0,0.0,,,,0.0,,294991.488,0.0,,,
Generator,p1 hydro,p1,Reservoir & Dam,4577.9,4577.9,16681282.128,,16681282.128,0.0,0.416,25.799,876221789.496,161577.771,709742896.303,42.547
Generator,p1 hydrogen_ct_2050,p1,Hydrogen Combustion Turbine,1322.369,,569692.206,,569692.206,0.0,0.049,11014256.68,126896637.832,114673713.851,241570290.504,424.036
Generator,p1 nuclear_2050,p1,Nuclear,7850.623,,47037931.556,,47037931.556,0.0,0.684,19324328.022,2687292917.807,534778629.929,3222071512.675,68.499
Generator,p1 onwind,p1,Onshore Wind,0.002,,0.74,,0.74,0.0,0.051,0.291,166.363,-9.549,73.584,105.0
Generator,p1 onwind existing,p1,Onshore Wind,0.0,0.0,,,,0.0,,387385.627,0.0,,,
Generator,p1 solar,p1,Solar,0.02,,27.49,,27.49,0.0,0.156,2.801,848.302,0.251,795.833,28.933
Generator,p1 solar existing,p1,Solar,11.0,11.0,16478.116,,16478.116,0.0,0.171,23.44,102494.92,148.723,443931.947,26.941
Generator,p10 biomass,p10,Biomass,0.0,0.0,,,,0.0,,2552775.809,0.0,,,
Generator,p10 geothermal,p10,Geothermal,1106.9,1106.9,8079474.178,,8079474.178,0.0,0.833,252762.881,447768184.622,24943277.559,401176095.429,49.654
Generator,p10 hydro,p10,Reservoir & Dam,2622.61,2622.61,5630203.281,,5630203.281,0.0,0.245,4711.189,487185683.104,55539.019,307973798.44,54.7
Generator,p10 hydrogen_ct_2050,p10,Hydrogen Combustion Turbine,3382.044,,1463660.996,,1463660.996,0.0,0.049,28163043.15,324546420.501,294618908.332,619165270.227,423.025
Generator,p10 nuclear_2050,p10,Nuclear,14497.146,,86663875.788,,86663875.788,0.0,0.682,35882245.672,4962418796.432,985315571.637,5947734339.503,68.63
Generator,p10 offwind,p10,Fixed Bottom Offshore Wind,0.001,,2.809,,2.809,0.0,0.25,0.95,283.982,0.028,206.707,73.75
Generator,p10 onwind,p10,Onshore Wind,0.001,,0.736,,0.736,0.0,0.076,0.265,112.066,-9.507,41.077,58.625
Generator,p10 onwind existing,p10,Onshore Wind,0.0,0.0,,,,0.0,,3968643.828,0.0,,,
Generator,p10 solar,p10,Solar,47507.979,,88798653.094,,88798653.094,0.0,0.213,7075.152,2045545574.935,822219.268,2046367780.954,23.045
Generator,p10 solar existing,p10,Solar,0.0,0.0,,,,0.0,,33908183.165,0.0,,,
Generator,p100 biomass,p100,Biomass,0.0,0.0,,,,0.0,,17520.0,0.0,,,
Generator,p100 hydro,p100,Reservoir & Dam,3.852,3.852,7334.691,,7334.691,0.0,0.217,5.232,690815.011,72.663,331870.197,45.247
Generator,p100 hydrogen_ct_2050,p100,Hydrogen Combustion Turbine,0.089,,46.395,,46.395,0.0,0.06,732.849,8536.24,9338.81,17795.93,383.302
Generator,p100 nuclear_2050,p100,Nuclear,364.543,,2511839.991,,2511839.991,0.0,0.787,569681.795,124784052.348,28556055.624,153340025.934,61.047
Generator,p100 onwind,p100,Onshore Wind,0.001,,0.462,,0.462,0.0,0.076,0.157,67.299,-5.97,15.136,34.6
Generator,p100 solar,p100,Solar,1735.267,,2447069.013,,2447069.013,0.0,0.161,3.335,72332501.017,22412.963,80921575.704,33.069
Generator,p100 solar existing,p100,Solar,218.9,218.9,308688.646,,308688.646,0.0,0.161,3.921,2039648.908,3098.149,10208051.105,33.069
Generator,p101 biomass,p101,Biomass,0.0,0.0,,,,0.0,,3484493.638,0.0,,,
Generator,p101 hydrogen_ct_2050,p101,Hydrogen Combustion Turbine,5069.069,,2277881.611,,2277881.611,0.0,0.051,42127166.196,486436130.293,458516813.231,944952891.97,414.838
Generator,p101 nuclear_2050,p101,Nuclear,18186.758,,144528587.606,,144528587.606,0.0,0.907,9206272.317,6225384773.169,1643116607.671,7868501368.374,54.443
Generator,p101 offwind,p101,Fixed Bottom Offshore Wind,0.001,,1.553,,1.553,0.0,0.247,0.684,163.053,0.015,78.272,49.667
Generator,p101 onwind,p101,Onshore Wind,0.002,,1.373,,1.373,0.0,0.094,0.588,174.713,-17.72,62.321,44.437
Generator,p101 solar,p101,Solar,21721.656,,31698421.57,,31698421.57,0.0,0.167,2844.204,887687060.146,322609.292,888009632.493,28.014
Generator,p101 solar existing,p101,Solar,7477.0,7477.0,10900386.949,,10900386.949,0.0,0.166,11781.233,69668592.44,111066.701,305669385.957,28.042
Generator,p101 waste,p101,Waste,0.0,0.0,,,,0.0,,2011278.48,0.0,,,
Generator,p102 biomass,p102,Biomass,0.0,0.0,,,,0.0,,1072654.464,0.0,,,
Generator,p102 hydrogen_ct_2050,p102,Hydrogen Combustion Turbine,2243.131,,764625.491,,764625.491,0.0,0.039,18885197.967,215254448.659,153911179.654,369165570.089,482.806
Generator,p102 nuclear,p102,Nuclear,11396.986,,57417035.063,,57417035.063,0.0,0.575,40960149.311,3803413897.854,751048029.004,4554461900.392,79.322
Generator,p102 nuclear existing,p102,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p102 nuclear_2050,p102,Nuclear,0.089,,716.366,,716.366,0.0,0.918,36.96,30505.386,8144.936,38531.635,53.786
Generator,p102 offwind,p102,Fixed Bottom Offshore Wind,0.001,,1.941,,1.941,0.0,0.256,0.815,190.701,0.019,108.523,56.318
Generator,p102 onwind,p102,Onshore Wind,0.002,,1.737,,1.737,0.0,0.123,0.473,166.375,-22.418,69.672,39.75
Generator,p102 solar,p102,Solar,19414.31,,28442913.327,,28442913.327,0.0,0.167,6693.234,793394013.317,266451.775,793660433.457,27.904
Generator,p102 solar existing,p102,Solar,2099.3,2099.3,3060589.807,,3060589.807,0.0,0.166,15711.059,19560689.596,29542.255,85819592.413,28.04
Generator,p102 waste,p102,Waste,224.3,224.3,1679437.732,,1679437.732,0.0,0.855,9318.969,,3422637.725,86401552.492,51.447
Generator,p103 biomass,p103,Biomass,0.0,0.0,,,,0.0,,2512923.569,0.0,,,
Generator,p103 hydro,p103,Reservoir & Dam,2312.34,2312.34,3292128.694,,3292128.694,0.0,0.163,751.708,414646990.055,31662.054,105867085.826,32.158
