Region,Carrier,2050
ERCOT,4Hr_Battery_Storage,13623.268
ERCOT,8Hr_Battery_Storage,2789.1279999999997
ERCOT,Battery Storage,10332.2
ERCOT,Biomass,0.0
ERCOT,Fixed Bottom Offshore Wind,0.002
ERCOT,Floating Offshore Wind,0.0
ERCOT,Hydrogen Combustion Turbine,16024.604
ERCOT,Nuclear,34902.776
ERCOT,Onshore Wind,64463.168
ERCOT,Reservoir & Dam,555.1
ERCOT,Solar,99680.65699999999
MISO,4Hr_Battery_Storage,32229.734
MISO,8Hr_Battery_Storage,17911.048
MISO,Battery Storage,628.4
MISO,Biomass,0.0
MISO,Fixed Bottom Offshore Wind,0.003
MISO,Floating Offshore Wind,0.001
MISO,Hydrogen Combustion Turbine,15737.695
MISO,Nuclear,55221.249
MISO,Onshore Wind,65301.112
MISO,Reservoir & Dam,5852.283
MISO,Solar,213525.78399999999
MISO,Waste,0.0
NPCC_NE,4Hr_Battery_Storage,2989.1369999999997
NPCC_NE,8Hr_Battery_Storage,2413.237
NPCC_NE,Battery Storage,592.6999999999999
NPCC_NE,Biomass,0.0
NPCC_NE,Fixed Bottom Offshore Wind,4696.976
NPCC_NE,Floating Offshore Wind,0.002
NPCC_NE,Hydrogen Combustion Turbine,4231.154
NPCC_NE,Nuclear,11250.957
NPCC_NE,Onshore Wind,0.034
NPCC_NE,Reservoir & Dam,3907.547
NPCC_NE,Solar,14151.563
NPCC_NE,Waste,0.0
NPCC_NY,4Hr_Battery_Storage,1786.0510000000002
NPCC_NY,8Hr_Battery_Storage,1219.391
NPCC_NY,Battery Storage,259.5
NPCC_NY,Biomass,3.0
NPCC_NY,Fixed Bottom Offshore Wind,0.003
NPCC_NY,Floating Offshore Wind,0.001
NPCC_NY,Hydrogen Combustion Turbine,4525.647
NPCC_NY,Nuclear,15008.091
NPCC_NY,Onshore Wind,1243.02
NPCC_NY,Reservoir & Dam,6425.571
NPCC_NY,Solar,10358.390000000001
NPCC_NY,Waste,0.0
PJM,4Hr_Battery_Storage,24645.706
PJM,8Hr_Battery_Storage,3163.386
PJM,Battery Storage,400.4
PJM,Biomass,0.0
PJM,Fixed Bottom Offshore Wind,2652.007
PJM,Floating Offshore Wind,0.004
PJM,Hydrogen Combustion Turbine,15727.646999999999
PJM,Nuclear,115082.736
PJM,Onshore Wind,27276.553999999996
PJM,Reservoir & Dam,10992.449
PJM,Solar,113223.63799999999
PJM,Waste,0.0
SERC,4Hr_Battery_Storage,25275.051
SERC,8Hr_Battery_Storage,8617.929
SERC,Battery Storage,1369.0
SERC,Biomass,0.0
SERC,Fixed Bottom Offshore Wind,0.008
SERC,Floating Offshore Wind,0.002
SERC,Hydrogen Combustion Turbine,22520.914
SERC,Nuclear,108615.488
SERC,Onshore Wind,0.027
SERC,Reservoir & Dam,19944.974000000002
SERC,Solar,194411.153
SERC,Waste,224.3
SPP,4Hr_Battery_Storage,13339.061
SPP,8Hr_Battery_Storage,4104.267
SPP,Battery Storage,228.8
SPP,Biomass,0.0
SPP,Hydrogen Combustion Turbine,9122.908
SPP,Nuclear,7778.950000000001
SPP,Onshore Wind,69658.876
SPP,Reservoir & Dam,4628.577
SPP,Solar,71056.011
WECC_CA,4Hr_Battery_Storage,0.044
WECC_CA,8Hr_Battery_Storage,10486.592
WECC_CA,Battery Storage,13860.9
WECC_CA,Biomass,0.0
WECC_CA,Fixed Bottom Offshore Wind,0.592
WECC_CA,Floating Offshore Wind,0.021
WECC_CA,Geothermal,1106.9
WECC_CA,Hydrogen Combustion Turbine,6348.458
WECC_CA,Nuclear,26938.021
WECC_CA,Onshore Wind,0.008
WECC_CA,Reservoir & Dam,12911.837000000001
WECC_CA,Solar,87705.557
WECC_NWPP,4Hr_Battery_Storage,0.585
WECC_NWPP,8Hr_Battery_Storage,9776.914999999999
WECC_NWPP,Battery Storage,3446.3
WECC_NWPP,Biomass,0.0
WECC_NWPP,Fixed Bottom Offshore Wind,0.003
WECC_NWPP,Floating Offshore Wind,0.002
WECC_NWPP,Geothermal,1055.8999999999999
WECC_NWPP,Hydrogen Combustion Turbine,12651.442000000001
WECC_NWPP,Nuclear,23633.872
WECC_NWPP,Onshore Wind,44190.372
WECC_NWPP,Reservoir & Dam,37832.89
WECC_NWPP,Solar,47748.805
WECC_NWPP,Waste,0.0
WECC_SRSG,4Hr_Battery_Storage,0.164
WECC_SRSG,8Hr_Battery_Storage,3501.8010000000004
WECC_SRSG,Battery Storage,4392.8
WECC_SRSG,Biomass,0.0
WECC_SRSG,Geothermal,19.2
WECC_SRSG,Hydrogen Combustion Turbine,4522.554
WECC_SRSG,Nuclear,12117.394
WECC_SRSG,Onshore Wind,13299.348
WECC_SRSG,Reservoir & Dam,1914.711
WECC_SRSG,Solar,26422.483
