,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p1 biomass,p1,Biomass,0.0,0.0,,,,0.0,,294991.488,0.0,,,
Generator,p1 hydro,p1,Reservoir & Dam,4577.9,4577.9,16681166.177,,16681166.177,0.0,0.416,141.798,876221789.496,161576.648,693897928.472,41.598
Generator,p1 hydrogen_ct_2050,p1,Hydrogen Combustion Turbine,568.265,,264744.339,,264744.339,0.0,0.053,4713254.85,54531608.024,53290412.598,107821944.76,407.268
Generator,p1 nuclear_2050,p1,Nuclear,7131.433,,41078046.581,,41078046.581,0.0,0.658,19204817.482,2441112082.221,467042976.18,2908155007.188,70.796
Generator,p1 onwind,p1,Onshore Wind,0.002,,1.462,,1.462,0.0,0.07,0.307,255.231,-18.875,121.04,81.294
Generator,p1 onwind existing,p1,Onshore Wind,0.0,0.0,,,,0.0,,411803.526,0.0,,,
Generator,p1 solar,p1,Solar,6168.744,,9166233.085,,9166233.085,0.0,0.17,154.232,259153323.306,83629.183,259236916.273,28.282
Generator,p1 solar existing,p1,Solar,11.0,11.0,16228.085,,16228.085,0.0,0.168,117.283,102494.92,146.466,462244.215,28.484
Generator,p10 biomass,p10,Biomass,0.0,0.0,,,,0.0,,2552775.809,0.0,,,
Generator,p10 geothermal,p10,Geothermal,1106.9,1106.9,7848119.476,,7848119.476,0.0,0.809,484117.63,447768184.622,24229030.02,402192677.734,51.247
Generator,p10 hydro,p10,Reservoir & Dam,2622.61,2622.61,5634727.463,,5634727.463,0.0,0.245,187.054,487185683.104,55583.647,314718740.002,55.853
Generator,p10 hydrogen_ct_2050,p10,Hydrogen Combustion Turbine,3580.138,,1297348.106,,1297348.106,0.0,0.041,30064663.613,343555887.705,261143708.666,604699532.612,466.104
Generator,p10 nuclear_2050,p10,Nuclear,15482.211,,94133202.257,,94133202.257,0.0,0.694,36739796.12,5299609806.834,1070109463.463,6369719245.95,67.667
Generator,p10 offwind,p10,Fixed Bottom Offshore Wind,0.001,,2.771,,2.771,0.0,0.34,0.988,209.275,0.028,131.481,46.906
Generator,p10 onwind,p10,Onshore Wind,0.001,,0.869,,0.869,0.0,0.093,0.141,113.657,-11.223,47.655,54.4
Generator,p10 onwind existing,p10,Onshore Wind,0.0,0.0,,,,0.0,,3455533.778,0.0,,,
Generator,p10 solar,p10,Solar,40350.095,,76313475.301,,76313475.301,0.0,0.216,117.185,1737349354.034,706614.432,1738055952.015,22.775
Generator,p10 solar existing,p10,Solar,0.0,0.0,,,,0.0,,34307371.226,0.0,,,
Generator,p100 biomass,p100,Biomass,0.0,0.0,,,,0.0,,17520.0,0.0,,,
Generator,p100 hydro,p100,Reservoir & Dam,3.852,3.852,7334.749,,7334.749,0.0,0.217,5.221,690815.011,72.663,366229.92,49.931
Generator,p100 hydrogen_ct_2050,p100,Hydrogen Combustion Turbine,28.743,,11555.284,,11555.284,0.0,0.046,240229.471,2758181.954,2325958.281,5084061.001,439.976
Generator,p100 nuclear_2050,p100,Nuclear,356.458,,2493428.843,,2493428.843,0.0,0.799,519753.378,122016689.806,28349623.407,150366242.223,60.305
Generator,p100 onwind,p100,Onshore Wind,0.001,,0.596,,0.596,0.0,0.125,0.052,57.491,-7.689,35.15,57.286
Generator,p100 solar,p100,Solar,1736.5,,2416595.858,,2416595.858,0.0,0.159,4.712,72383891.749,22133.856,83812044.812,34.682
Generator,p100 solar existing,p100,Solar,218.9,218.9,304626.797,,304626.797,0.0,0.159,5.412,2039648.908,3057.382,10565175.412,34.682
Generator,p101 biomass,p101,Biomass,0.0,0.0,,,,0.0,,3484493.638,0.0,,,
Generator,p101 hydrogen_ct_2050,p101,Hydrogen Combustion Turbine,5251.427,,2108613.363,,2108613.363,0.0,0.046,43893888.71,503935480.235,424442362.049,928377781.331,440.279
Generator,p101 nuclear_2050,p101,Nuclear,17647.82,,134702795.438,,134702795.438,0.0,0.871,14476356.047,6040904571.523,1531555752.145,7572460302.261,56.216
Generator,p101 offwind,p101,Fixed Bottom Offshore Wind,0.001,,2.337,,2.337,0.0,0.29,0.814,207.578,0.022,131.577,55.63
Generator,p101 onwind,p101,Onshore Wind,0.002,,2.422,,2.422,0.0,0.115,0.953,250.169,-31.269,124.701,50.857
Generator,p101 solar,p101,Solar,17655.018,,26588592.219,,26588592.219,0.0,0.172,59.826,721497970.297,270604.228,721768543.364,27.146
Generator,p101 solar existing,p101,Solar,7477.0,7477.0,11260391.251,,11260391.251,0.0,0.172,53.508,69668592.44,114734.872,305673054.176,27.146
Generator,p101 waste,p101,Waste,0.0,0.0,,,,0.0,,2011278.48,0.0,,,
Generator,p102 biomass,p102,Biomass,0.0,0.0,,,,0.0,,1072654.464,0.0,,,
Generator,p102 hydrogen_ct_2050,p102,Hydrogen Combustion Turbine,1572.023,,409987.271,,409987.271,0.0,0.03,13360930.123,150853835.274,82526662.095,233380428.335,569.238
Generator,p102 nuclear,p102,Nuclear,9001.254,,44195441.485,,44195441.485,0.0,0.56,33502117.434,3003907636.735,578101937.545,3582009538.717,81.049
Generator,p102 nuclear existing,p102,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p102 nuclear_2050,p102,Nuclear,0.045,,333.935,,333.935,0.0,0.842,48.874,15501.56,3796.385,19169.1,57.404
Generator,p102 offwind,p102,Fixed Bottom Offshore Wind,0.001,,1.85,,1.85,0.0,0.276,0.665,167.858,0.018,104.085,56.571
Generator,p102 onwind,p102,Onshore Wind,0.009,,15.719,,15.719,0.0,0.189,1.092,971.216,-202.928,687.995,43.877
Generator,p102 solar,p102,Solar,40639.326,,62162231.364,,62162231.364,0.0,0.175,284879.416,1660785161.987,582332.644,1661367538.457,26.726
Generator,p102 solar existing,p102,Solar,2099.3,2099.3,3088064.069,,3088064.069,0.0,0.168,137757.627,19560689.596,29807.449,85819852.627,27.791
Generator,p102 waste,p102,Waste,224.3,224.3,1652016.032,,1652016.032,0.0,0.841,36740.713,,3366753.222,85943467.64,52.023
Generator,p103 biomass,p103,Biomass,0.0,0.0,,,,0.0,,2512923.569,0.0,,,
Generator,p103 hydro,p103,Reservoir & Dam,2312.34,2312.34,3292805.69,,3292805.69,0.0,0.163,74.758,414646990.055,31668.565,115768409.551,35.158
