,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26275.91,,26275.91,0.0,1.0,79855161.75,1238808.37,263.88,1362582.29,51.86
Generator,Fixed Bottom Offshore Wind,5321.91,5221.0,25528801.13,,25528801.13,0.0,0.55,185.89,290880313.91,250519.92,895066507.95,35.06
Generator,Floating Offshore Wind,12460.23,,60369544.56,,60369544.56,0.0,0.55,136396.83,3445934728.43,578942.12,3446512680.24,57.09
Generator,Geothermal,2182.0,2182.0,15163479.09,,15163479.09,0.0,0.79,8213242.93,862836622.43,46147347.88,760913586.02,50.18
Generator,Hydrogen Combustion Turbine,126592.15,,53700733.64,,53700733.64,0.0,0.05,1055246475.94,12147988030.98,10809413939.1,22957390976.26,427.51
Generator,Nuclear,415972.76,13916.8,2617202701.68,,2617202701.68,0.0,0.72,909687368.32,138869748214.56,30204087900.67,171839533537.67,65.66
Generator,Onshore Wind,217714.01,8266.7,606973302.89,,606973302.89,0.0,0.32,399993784.09,21599761692.48,-7599814377.76,14486432522.23,23.87
Generator,Reservoir & Dam,104965.94,104965.94,283752026.7,,283752026.7,0.0,0.31,2752929.85,19212311500.64,2830717.64,12839285886.04,45.25
Generator,Solar,905832.1,88806.8,1311665675.62,,1311665675.62,0.0,0.17,165440653.77,34954100814.64,13095648.4,38923372449.14,29.67
Generator,Waste,224.3,224.3,1652016.03,,1652016.03,0.0,0.84,14349817.63,,3366753.22,85943467.64,52.02
Link,Ac,1354838.42,1354838.42,1572005317.56,1602707774.58,-30702457.02,1602361153.41,0.14,0.0,10881462872.08,16030877.77,5553835684.86,3.53
Link,Dc,20160.0,20160.0,26963851.34,27972279.18,-1008427.84,27972279.18,0.16,0.0,790521708.43,278756.27,567923491.95,21.06
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-291562403125.3,
StorageUnit,4Hr_Battery_Storage,96429.16,,106087138.35,126261542.01,-20174403.66,0.0,0.28,864893868.19,7468545050.38,1149177.08,7469673806.09,70.41
StorageUnit,8Hr_Battery_Storage,76786.7,,133463477.79,158016771.65,-24553293.86,0.0,0.43,697204823.49,9778686634.16,1378628.85,9780045506.51,73.28
StorageUnit,Battery Storage,35511.0,35511.0,31136998.29,37093656.35,-5956658.05,0.0,0.22,317033018.06,798322791.0,334198.72,1955121177.0,62.79
