,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26272.05,,26272.05,0.0,1.0,79855165.57,1238808.37,272.08,1361075.63,51.81
Generator,Fixed Bottom Offshore Wind,5322.47,5221.0,25530723.5,,25530723.5,0.0,0.55,500.06,291005516.61,255287.05,897980730.39,35.17
Generator,Floating Offshore Wind,11108.25,,53896527.8,,53896527.8,0.0,0.55,5721.83,3072037905.79,503283.99,3072539840.31,57.01
Generator,Geothermal,2182.0,2182.0,13433196.46,,13433196.46,0.0,0.7,9943525.34,862836622.43,40873843.42,759851418.63,56.57
Generator,Hydrogen Combustion Turbine,118051.46,,50797341.8,,50797341.8,0.0,0.05,983333464.45,11328409999.01,10225002818.96,21553400393.13,424.3
Generator,Nuclear,368895.96,13916.8,2290818519.27,,2290818519.27,0.0,0.71,837578613.27,122789549871.96,26475148875.19,152032495596.1,66.37
Generator,Onshore Wind,219221.83,8266.7,607463059.15,,607463059.15,0.0,0.32,402295938.42,21755601488.82,-7658035834.3,14599806078.11,24.03
Generator,Reservoir & Dam,104965.94,104965.94,281855334.91,,281855334.91,0.0,0.31,4649618.32,19212311500.64,2805829.27,12690077089.97,45.02
Generator,Solar,1157060.16,88806.8,1678172502.92,,1678172502.92,0.0,0.17,203906973.37,45363890425.36,16661020.51,49231524277.82,29.34
Generator,Waste,224.3,224.3,1622383.03,,1622383.03,0.0,0.83,14379450.59,,3306610.46,85812525.3,52.89
Link,Ac,1354838.42,1354838.42,1667967268.5,1700623803.23,-32656534.73,1700308234.08,0.14,0.0,10881462872.08,17154306.17,5245501210.99,3.14
Link,Dc,20160.0,20160.0,32023758.58,33280073.73,-1256315.15,33280073.73,0.19,0.0,790521708.43,331218.19,618344508.95,19.31
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-287506755010.06,
StorageUnit,4Hr_Battery_Storage,78381.66,,102568612.32,120671990.52,-18103378.2,0.0,0.33,704726688.1,6070745777.77,1020371.1,6071741144.55,59.2
StorageUnit,8Hr_Battery_Storage,146897.62,,285249329.05,337137381.89,-51888052.84,0.0,0.48,1338711204.77,18707220310.0,2962659.87,18710160239.42,65.59
StorageUnit,Battery Storage,35511.0,35511.0,31729639.14,37801967.94,-6072328.8,0.0,0.22,317148688.8,798322791.0,335808.98,1936166556.7,61.02
