,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26275.29,,26275.29,0.0,1.0,79855162.36,1238808.37,242.44,1362911.01,51.87
Generator,Fixed Bottom Offshore Wind,31694.05,5221.0,160842796.87,,160842796.87,0.0,0.58,478920.83,6147614913.67,1644612.02,7154666607.16,44.48
Generator,Floating Offshore Wind,9367.48,,44288222.27,,44288222.27,0.0,0.54,374021.72,2590621179.77,440099.01,2591059951.04,58.5
Generator,Geothermal,2182.0,2182.0,15522513.8,,15522513.8,0.0,0.81,7854208.19,862836622.43,47249528.54,756132136.32,48.71
Generator,Hydrogen Combustion Turbine,138460.16,,68455141.49,,68455141.49,0.0,0.06,1144455833.34,13286861518.6,13779327034.23,27066175652.17,395.39
Generator,Nuclear,377418.45,13916.8,2246004668.56,,2246004668.56,0.0,0.68,957375653.25,125597440120.48,26056932560.87,154419476093.21,68.75
Generator,Onshore Wind,267617.57,8266.7,815063470.74,,815063470.74,0.0,0.35,435108046.27,26770909264.59,-10289213093.11,17120009785.31,21.0
Generator,Reservoir & Dam,104965.94,104965.94,281853341.04,,281853341.04,0.0,0.31,4651614.98,19212311500.64,2773712.22,12735420120.06,45.18
Generator,Solar,904710.51,88806.8,1348326841.28,,1348326841.28,0.0,0.17,196613572.22,34956150070.23,13776326.78,40252726863.62,29.85
Generator,Waste,224.3,224.3,1666807.0,,1666807.0,0.0,0.85,14335026.65,,3395939.28,86217519.66,51.73
Link,Ac,1354838.42,1354838.42,1833730712.69,1869224706.95,-35493994.26,1868685715.5,0.16,0.0,10881462872.08,18609135.29,8034687757.46,4.38
Link,Dc,20160.0,20160.0,28794754.33,29914082.81,-1119328.48,29914082.81,0.17,0.0,790521708.43,297453.14,547968413.08,19.03
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-291838503989.15,
StorageUnit,4Hr_Battery_Storage,144324.58,,138175397.87,166234775.35,-28059377.48,0.0,0.24,1292342733.43,11178098288.13,1582506.03,11179658738.45,80.91
StorageUnit,8Hr_Battery_Storage,62078.33,,104131367.2,123490480.73,-19359113.53,0.0,0.42,563165302.3,7905594613.86,1092532.38,7906661257.08,75.93
StorageUnit,Battery Storage,35511.0,35511.0,24050851.53,28429806.86,-4378955.33,0.0,0.17,315455315.33,798322791.0,252664.34,1986290088.75,82.59
