,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p1 biomass,p1,Biomass,0.0,0.0,,,,0.0,,294991.488,0.0,,,
Generator,p1 hydro,p1,Reservoir & Dam,4577.9,4577.9,16681211.772,,16681211.772,0.0,0.416,96.197,876221789.496,160092.231,705582783.229,42.298
Generator,p1 hydrogen_ct_2050,p1,Hydrogen Combustion Turbine,1250.982,,763745.441,,763745.441,0.0,0.07,10194856.258,120046257.503,153734089.054,273780268.229,358.471
Generator,p1 nuclear_2050,p1,Nuclear,6632.259,,36372994.285,,36372994.285,0.0,0.626,19690293.458,2270243313.822,413494086.901,2683737352.002,73.784
Generator,p1 onwind,p1,Onshore Wind,0.004,,2.232,,2.232,0.0,0.066,0.613,397.988,-28.816,157.46,71.88
Generator,p1 onwind existing,p1,Onshore Wind,0.0,0.0,,,,0.0,,442569.746,0.0,,,
Generator,p1 solar,p1,Solar,8878.753,,13834273.23,,13834273.23,0.0,0.178,99.574,373002705.784,144393.845,373147069.238,26.973
Generator,p1 solar existing,p1,Solar,11.0,11.0,17069.698,,17069.698,0.0,0.177,69.896,102494.92,184.655,462273.298,27.081
Generator,p10 biomass,p10,Biomass,0.0,0.0,,,,0.0,,2552775.809,0.0,,,
Generator,p10 geothermal,p10,Geothermal,1106.9,1106.9,8052763.745,,8052763.745,0.0,0.83,279473.355,447768184.622,24869910.88,400504787.759,49.735
Generator,p10 hydro,p10,Reservoir & Dam,2622.61,2622.61,5634790.113,,5634790.113,0.0,0.245,124.399,487185683.104,59173.72,314572704.719,55.827
Generator,p10 hydrogen_ct_2050,p10,Hydrogen Combustion Turbine,3109.993,,1836700.246,,1836700.246,0.0,0.067,25406838.278,298439977.194,369710441.053,668150343.677,363.778
Generator,p10 nuclear_2050,p10,Nuclear,15819.865,,96471552.812,,96471552.812,0.0,0.696,37255674.645,5415189801.299,1096865042.334,6512054818.626,67.502
Generator,p10 offwind,p10,Fixed Bottom Offshore Wind,0.002,,4.594,,4.594,0.0,0.31,1.409,374.137,0.046,286.746,62.942
Generator,p10 onwind,p10,Onshore Wind,0.001,,0.707,,0.707,0.0,0.096,0.118,88.433,-9.128,37.397,53.375
Generator,p10 onwind existing,p10,Onshore Wind,0.0,0.0,,,,0.0,,3483098.474,0.0,,,
Generator,p10 solar,p10,Solar,40379.177,,77186726.786,,77186726.786,0.0,0.218,94.357,1738601534.716,825243.219,1739426759.493,22.535
Generator,p10 solar existing,p10,Solar,0.0,0.0,,,,0.0,,34674946.297,0.0,,,
Generator,p100 biomass,p100,Biomass,0.0,0.0,,,,0.0,,17520.0,0.0,,,
Generator,p100 hydro,p100,Reservoir & Dam,3.852,3.852,7321.279,,7321.279,0.0,0.217,18.686,690815.011,75.502,346116.078,47.275
Generator,p100 hydrogen_ct_2050,p100,Hydrogen Combustion Turbine,44.901,,24105.014,,24105.014,0.0,0.061,369226.317,4308757.223,4852080.82,9160747.693,380.035
Generator,p100 nuclear_2050,p100,Nuclear,354.057,,2321471.444,,2321471.444,0.0,0.748,671417.24,121194917.288,26394281.819,147589109.78,63.576
Generator,p100 onwind,p100,Onshore Wind,0.001,,0.814,,0.814,0.0,0.103,0.163,88.869,-10.508,37.107,47.111
Generator,p100 solar,p100,Solar,1736.033,,2596607.76,,2596607.76,0.0,0.171,2629.987,72364411.401,28444.611,95826474.028,36.904
Generator,p100 solar existing,p100,Solar,218.9,218.9,327693.515,,327693.515,0.0,0.171,49.796,2039648.908,3163.532,12082944.101,36.873
Generator,p101 biomass,p101,Biomass,0.0,0.0,,,,0.0,,3484493.638,0.0,,,
Generator,p101 hydrogen_ct_2050,p101,Hydrogen Combustion Turbine,4057.334,,1717714.686,,1717714.686,0.0,0.048,33824532.676,389348376.417,345757283.83,735105590.446,427.956
Generator,p101 nuclear_2050,p101,Nuclear,18457.843,,140353771.498,,140353771.498,0.0,0.868,15672605.03,6318178122.542,1595708825.069,7913886922.754,56.385
Generator,p101 offwind,p101,Fixed Bottom Offshore Wind,0.001,,2.664,,2.664,0.0,0.286,0.965,233.19,0.026,140.827,53.6
Generator,p101 onwind,p101,Onshore Wind,0.002,,2.264,,2.264,0.0,0.132,0.449,201.97,-29.229,104.034,45.692
Generator,p101 solar,p101,Solar,25391.571,,38014766.316,,38014766.316,0.0,0.171,96.246,1037663472.681,342725.394,1038006168.634,27.305
Generator,p101 solar existing,p101,Solar,7477.0,7477.0,11192562.198,,11192562.198,0.0,0.171,1590.658,69668592.44,108681.237,305659357.7,27.309
Generator,p101 waste,p101,Waste,0.0,0.0,,,,0.0,,2011278.48,0.0,,,
Generator,p102 biomass,p102,Biomass,0.0,0.0,,,,0.0,,1072654.464,0.0,,,
Generator,p102 hydrogen_ct_2050,p102,Hydrogen Combustion Turbine,2655.864,,757277.613,,757277.613,0.0,0.033,22508094.378,254861059.263,152432239.077,407293226.275,537.839
Generator,p102 nuclear,p102,Nuclear,11851.322,,56352064.279,,56352064.279,0.0,0.543,45946887.489,3955035482.727,737151927.731,4692187384.656,83.266
Generator,p102 nuclear existing,p102,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p102 nuclear_2050,p102,Nuclear,0.077,,586.139,,586.139,0.0,0.87,63.809,26319.174,6664.064,32787.89,55.939
Generator,p102 offwind,p102,Fixed Bottom Offshore Wind,0.001,,2.29,,2.29,0.0,0.299,0.834,194.116,0.022,112.811,49.538
Generator,p102 onwind,p102,Onshore Wind,0.005,,8.557,,8.557,0.0,0.199,1.031,505.758,-110.466,304.144,35.429
Generator,p102 solar,p102,Solar,21700.835,,32419397.509,,32419397.509,0.0,0.171,107355.924,886836162.28,353671.836,887189810.75,27.366
Generator,p102 solar existing,p102,Solar,2099.3,2099.3,3146138.353,,3146138.353,0.0,0.171,441.718,19560689.596,32460.393,85825245.362,27.28
Generator,p102 waste,p102,Waste,224.3,224.3,1666807.001,,1666807.001,0.0,0.848,21949.737,,3395939.281,86217519.658,51.726
Generator,p103 biomass,p103,Biomass,0.0,0.0,,,,0.0,,2512923.569,0.0,,,
Generator,p103 hydro,p103,Reservoir & Dam,2312.34,2312.34,3083319.02,,3083319.02,0.0,0.152,209561.423,414646990.055,33566.124,106909502.847,34.674
