,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p1 biomass,p1,Biomass,0.0,0.0,,,,0.0,,294991.488,0.0,,,
Generator,p1 hydro,p1,Reservoir & Dam,4577.9,4577.9,16681234.619,,16681234.619,0.0,0.416,73.328,876221789.496,160092.45,693021156.48,41.545
Generator,p1 hydrogen_ct_2050,p1,Hydrogen Combustion Turbine,734.666,,373012.542,,373012.542,0.0,0.058,6062663.039,70499758.02,75083581.9,145583261.065,390.291
Generator,p1 nuclear_2050,p1,Nuclear,7342.647,,42265016.356,,42265016.356,0.0,0.657,19803267.507,2513411398.337,480475547.578,2993886900.784,70.836
Generator,p1 onwind,p1,Onshore Wind,0.009,,4.498,,4.498,0.0,0.059,1.397,904.498,-58.073,368.455,82.471
Generator,p1 onwind existing,p1,Onshore Wind,0.0,0.0,,,,0.0,,411803.526,0.0,,,
Generator,p1 solar,p1,Solar,3370.001,,5007535.557,,5007535.557,0.0,0.17,85.275,141576123.399,52265.652,141628355.738,28.283
Generator,p1 solar existing,p1,Solar,11.0,11.0,16293.859,,16293.859,0.0,0.169,51.492,102494.92,176.262,462262.235,28.37
Generator,p10 biomass,p10,Biomass,0.0,0.0,,,,0.0,,2552775.809,0.0,,,
Generator,p10 geothermal,p10,Geothermal,1106.9,1106.9,8128589.744,,8128589.744,0.0,0.838,203647.333,447768184.622,25104089.592,404102982.663,49.714
Generator,p10 hydro,p10,Reservoir & Dam,2622.61,2622.61,5634824.366,,5634824.366,0.0,0.245,90.124,487185683.104,59174.08,317060199.149,56.268
Generator,p10 hydrogen_ct_2050,p10,Hydrogen Combustion Turbine,3521.343,,1403193.752,,1403193.752,0.0,0.045,29443770.372,337913786.835,282449671.39,620363387.387,442.108
Generator,p10 nuclear_2050,p10,Nuclear,16473.215,,101186994.896,,101186994.896,0.0,0.701,38063078.207,5638833542.266,1150478811.683,6789312321.472,67.097
Generator,p10 offwind,p10,Fixed Bottom Offshore Wind,0.001,,3.069,,3.069,0.0,0.321,1.218,240.982,0.031,140.927,45.971
Generator,p10 onwind,p10,Onshore Wind,0.004,,2.811,,2.811,0.0,0.074,0.732,458.291,-36.288,126.694,45.188
Generator,p10 onwind existing,p10,Onshore Wind,0.0,0.0,,,,0.0,,3455533.778,0.0,,,
Generator,p10 solar,p10,Solar,34118.652,,64528068.969,,64528068.969,0.0,0.216,80.09,1469042859.202,689902.961,1469732736.34,22.777
Generator,p10 solar existing,p10,Solar,0.0,0.0,,,,0.0,,34307371.226,0.0,,,
Generator,p100 biomass,p100,Biomass,0.0,0.0,,,,0.0,,17520.0,0.0,,,
Generator,p100 hydro,p100,Reservoir & Dam,3.852,3.852,7334.226,,7334.226,0.0,0.217,5.715,690815.011,75.636,356211.565,48.568
Generator,p100 hydrogen_ct_2050,p100,Hydrogen Combustion Turbine,54.926,,23207.195,,23207.195,0.0,0.048,457946.166,5270805.686,4671359.352,9942081.933,428.406
Generator,p100 nuclear_2050,p100,Nuclear,353.81,,2371500.366,,2371500.366,0.0,0.765,619299.793,121110343.986,26963092.383,148073360.538,62.439
Generator,p100 onwind,p100,Onshore Wind,0.001,,0.717,,0.717,0.0,0.079,0.197,103.234,-9.263,39.064,55.75
Generator,p100 solar,p100,Solar,1736.5,,2416595.163,,2416595.163,0.0,0.159,5.712,72383901.312,26472.658,82123961.574,33.983
Generator,p100 solar existing,p100,Solar,218.9,218.9,304627.3,,304627.3,0.0,0.159,4.892,2039648.908,2940.853,10352371.224,33.984
Generator,p101 biomass,p101,Biomass,0.0,0.0,,,,0.0,,3484493.638,0.0,,,
Generator,p101 hydrogen_ct_2050,p101,Hydrogen Combustion Turbine,5584.603,,2166074.419,,2166074.419,0.0,0.044,46755050.885,535907606.399,436007221.494,971914758.61,448.699
Generator,p101 nuclear_2050,p101,Nuclear,18137.58,,139833553.192,,139833553.192,0.0,0.88,13485594.55,6208550801.424,1589794363.831,7798345144.333,55.769
Generator,p101 offwind,p101,Fixed Bottom Offshore Wind,0.001,,2.862,,2.862,0.0,0.275,1.119,265.665,0.028,161.765,55.97
Generator,p101 onwind,p101,Onshore Wind,0.003,,3.206,,3.206,0.0,0.117,1.097,324.387,-41.392,155.794,48.054
Generator,p101 solar,p101,Solar,16282.909,,24522216.994,,24522216.994,0.0,0.172,23.842,665424744.708,221082.155,665645793.577,27.145
Generator,p101 solar existing,p101,Solar,7477.0,7477.0,11260421.754,,11260421.754,0.0,0.172,22.989,69668592.44,109340.162,305659966.71,27.145
Generator,p101 waste,p101,Waste,0.0,0.0,,,,0.0,,2011278.48,0.0,,,
Generator,p102 biomass,p102,Biomass,0.0,0.0,,,,0.0,,1072654.464,0.0,,,
Generator,p102 hydrogen_ct_2050,p102,Hydrogen Combustion Turbine,1546.102,,472948.63,,472948.63,0.0,0.035,13070903.843,148366447.316,95199722.419,243566094.924,514.995
Generator,p102 nuclear,p102,Nuclear,10000.17,,48607915.301,,48607915.301,0.0,0.555,37712153.299,3337267179.058,635849261.707,3973116411.493,81.738
Generator,p102 nuclear existing,p102,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p102 nuclear_2050,p102,Nuclear,0.062,,459.45,,459.45,0.0,0.839,68.821,21391.937,5223.674,26424.589,57.512
Generator,p102 offwind,p102,Fixed Bottom Offshore Wind,0.001,,2.181,,2.181,0.0,0.266,0.893,209.754,0.021,121.161,55.32
Generator,p102 onwind,p102,Onshore Wind,0.014,,22.771,,22.771,0.0,0.19,1.436,1402.111,-293.957,1001.605,43.977
Generator,p102 solar,p102,Solar,35036.177,,53720494.549,,53720494.549,0.0,0.175,116717.787,1431804327.075,586051.173,1432390385.781,26.664
Generator,p102 solar existing,p102,Solar,2099.3,2099.3,3225499.2,,3225499.2,0.0,0.175,322.481,19560689.596,33279.202,85826110.214,26.609
Generator,p102 waste,p102,Waste,224.3,224.3,1675997.141,,1675997.141,0.0,0.853,12759.576,,3414663.199,86164510.733,51.411
Generator,p103 biomass,p103,Biomass,0.0,0.0,,,,0.0,,2512923.569,0.0,,,
Generator,p103 hydro,p103,Reservoir & Dam,2312.34,2312.34,3288586.047,,3288586.047,0.0,0.162,4294.373,414646990.055,35800.735,113711069.743,34.577
