,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26275.18,,26275.18,0.0,1.0,79855162.45,1238808.37,242.44,1362916.9,51.87
Generator,Fixed Bottom Offshore Wind,5391.15,5221.0,25881876.57,,25881876.57,0.0,0.55,1437.26,306256382.6,252820.31,917466457.39,35.45
Generator,Floating Offshore Wind,14085.67,,68246627.99,,68246627.99,0.0,0.55,143865.05,3895458410.63,699349.16,3896156449.12,57.09
Generator,Geothermal,2182.0,2182.0,15656946.01,,15656946.01,0.0,0.82,7719775.85,862836622.43,47659348.46,764334913.18,48.82
Generator,Hydrogen Combustion Turbine,126907.21,,56446377.71,,56446377.71,0.0,0.05,1055260810.75,12178222284.33,11362085188.53,23540294765.37,417.04
Generator,Nuclear,417020.77,13916.8,2623682512.76,,2623682512.76,0.0,0.72,912262093.39,139239619785.11,30282905607.03,172286944156.02,65.67
Generator,Onshore Wind,220997.98,8266.7,615475251.93,,615475251.93,0.0,0.32,399189662.55,21934829215.25,-7708662721.09,14717957379.42,23.91
Generator,Reservoir & Dam,104965.94,104965.94,284456078.63,,284456078.63,0.0,0.31,2048875.42,19212311500.64,2800236.41,12799624528.82,45.0
Generator,Solar,881713.3,88806.8,1275905748.62,,1275905748.62,0.0,0.17,162346399.13,33923298962.75,13070619.37,37688576499.84,29.54
Generator,Waste,224.3,224.3,1675997.14,,1675997.14,0.0,0.85,14325836.49,,3414663.2,86164510.73,51.41
Link,Ac,1354838.42,1354838.42,1523921134.97,1553402859.79,-29481724.82,1553047476.93,0.13,0.0,10881462872.08,15526823.94,5532033646.77,3.63
Link,Dc,20160.0,20160.0,24985496.81,25914386.77,-928889.97,25914386.77,0.15,0.0,790521708.43,258032.0,563717270.12,22.56
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-292308423474.03,
StorageUnit,4Hr_Battery_Storage,102578.44,,89764766.42,107036859.97,-17272093.55,0.0,0.22,915859243.28,7944813504.73,977461.96,7945765636.83,88.52
StorageUnit,8Hr_Battery_Storage,75770.65,,113968303.67,135272564.1,-21304260.42,0.0,0.38,685055189.31,9649293952.34,1204601.57,9650474664.15,84.68
StorageUnit,Battery Storage,35511.0,35511.0,24593449.39,29420908.52,-4827459.13,0.0,0.17,315903819.13,798322791.0,278613.18,1917557789.78,77.97
