,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26102.94,,26102.94,0.0,0.99,79855334.8,1238808.37,250.42,1354864.51,51.9
Generator,Fixed Bottom Offshore Wind,12878.98,5221.0,65532590.25,,65532590.25,0.0,0.58,68022.76,1969157907.32,686836.97,2812821218.12,42.92
Generator,Floating Offshore Wind,5646.88,,28574012.39,,28574012.39,0.0,0.58,10871.0,1561671925.72,260974.15,1561932114.25,54.66
Generator,Geothermal,2182.0,2182.0,14821394.76,,14821394.76,0.0,0.78,8555327.72,862836622.43,45107816.19,753531682.3,50.84
Generator,Hydrogen Combustion Turbine,128803.67,,61780304.18,,61780304.18,0.0,0.05,1066539832.54,12360209211.07,12435762329.76,24795959672.04,401.36
Generator,Nuclear,398851.61,13916.8,2461139522.38,,2461139522.38,0.0,0.7,921251749.47,132984822958.85,28447428737.82,164192741610.18,66.71
Generator,Onshore Wind,247710.66,8266.7,712404299.47,,712404299.47,0.0,0.33,430891058.02,24698302821.36,-8970071278.73,16372880242.03,22.98
Generator,Reservoir & Dam,104965.94,104965.94,280637681.3,,280637681.3,0.0,0.31,5867282.0,19212311500.64,2761397.7,12570940224.48,44.79
Generator,Solar,937034.17,88806.8,1359937155.78,,1359937155.78,0.0,0.17,198328511.06,36346413998.23,13427503.95,40184450348.06,29.55
Generator,Waste,224.3,224.3,1663499.4,,1663499.4,0.0,0.85,14338334.33,,3390951.86,86235781.96,51.84
Link,Ac,1354838.42,1354838.42,1786381079.33,1822112015.26,-35730935.93,1821531934.16,0.15,0.0,10881462872.08,18381874.42,6885537144.82,3.85
Link,Dc,20160.0,20160.0,35785690.07,37158735.69,-1373045.62,37158735.69,0.21,0.0,790521708.43,370590.78,654395129.81,18.29
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-291271335640.88,
StorageUnit,4Hr_Battery_Storage,117749.89,,129250384.42,153195435.43,-23945051.01,0.0,0.27,1055434095.73,9119858986.24,1380890.19,9121217862.35,70.57
StorageUnit,8Hr_Battery_Storage,73157.34,,138748375.91,164864925.69,-26116549.78,0.0,0.47,666974878.54,9316492266.36,1492853.86,9317960650.0,67.16
StorageUnit,Battery Storage,35511.0,35511.0,30588152.4,36299639.51,-5711487.11,0.0,0.22,316787847.11,798322791.0,319274.59,1959396375.1,64.06
