,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p1 biomass,p1,Biomass,0.0,0.0,,,,0.0,,294991.488,0.0,,,
Generator,p1 hydro,p1,Reservoir & Dam,4577.9,4577.9,16681203.218,,16681203.218,0.0,0.416,104.742,876221789.496,159677.126,701691138.631,42.065
Generator,p1 hydrogen_ct_2050,p1,Hydrogen Combustion Turbine,1331.461,,810109.346,,810109.346,0.0,0.069,10853487.396,127769142.114,163066719.259,290835780.993,359.008
Generator,p1 nuclear_2050,p1,Nuclear,6475.073,,35878015.178,,35878015.178,0.0,0.633,18856559.31,2216438007.298,407900366.605,2624338318.93,73.146
Generator,p1 onwind,p1,Onshore Wind,0.003,,1.896,,1.896,0.0,0.065,0.648,354.72,-24.475,134.912,70.0
Generator,p1 onwind existing,p1,Onshore Wind,0.0,0.0,,,,0.0,,442569.746,0.0,,,
Generator,p1 solar,p1,Solar,9030.596,,14070853.623,,14070853.623,0.0,0.178,112.58,379381742.95,138878.923,379520586.226,26.972
Generator,p1 solar existing,p1,Solar,11.0,11.0,17054.488,,17054.488,0.0,0.177,85.104,102494.92,172.295,462259.408,27.105
Generator,p10 biomass,p10,Biomass,0.0,0.0,,,,0.0,,2552775.809,0.0,,,
Generator,p10 geothermal,p10,Geothermal,1106.9,1106.9,7994329.181,,7994329.181,0.0,0.824,337907.91,447768184.622,24680521.494,399606827.633,49.986
Generator,p10 hydro,p10,Reservoir & Dam,2622.61,2622.61,5629636.021,,5629636.021,0.0,0.245,5278.483,487185683.104,61709.415,312778084.898,55.559
Generator,p10 hydrogen_ct_2050,p10,Hydrogen Combustion Turbine,3038.152,,1655143.114,,1655143.114,0.0,0.062,24959072.701,291546046.914,333162271.444,624708241.42,377.435
Generator,p10 nuclear_2050,p10,Nuclear,15541.648,,93584529.801,,93584529.801,0.0,0.687,37790896.969,5319955290.45,1063933887.147,6383889137.782,68.215
Generator,p10 offwind,p10,Fixed Bottom Offshore Wind,0.002,,5.458,,5.458,0.0,0.312,1.634,442.845,0.057,345.914,63.694
Generator,p10 onwind,p10,Onshore Wind,0.002,,1.178,,1.178,0.0,0.071,0.411,193.433,-15.211,58.38,51.231
Generator,p10 onwind existing,p10,Onshore Wind,0.0,0.0,,,,0.0,,3483098.474,0.0,,,
Generator,p10 solar,p10,Solar,42943.703,,82088859.461,,82088859.461,0.0,0.218,182.242,1849022045.174,758803.071,1849780822.318,22.534
Generator,p10 solar existing,p10,Solar,0.0,0.0,,,,0.0,,34674946.297,0.0,,,
Generator,p100 biomass,p100,Biomass,0.0,0.0,,,,0.0,,17520.0,0.0,,,
Generator,p100 hydro,p100,Reservoir & Dam,3.852,3.852,7321.978,,7321.978,0.0,0.217,17.977,690815.011,76.574,346830.084,47.368
Generator,p100 hydrogen_ct_2050,p100,Hydrogen Combustion Turbine,79.0,,40219.619,,40219.619,0.0,0.058,651818.519,7580947.886,8095801.182,15676662.889,389.777
Generator,p100 nuclear_2050,p100,Nuclear,317.927,,2112210.558,,2112210.558,0.0,0.758,575268.178,108827556.773,24013261.773,132840737.814,62.892
Generator,p100 onwind,p100,Onshore Wind,0.001,,0.815,,0.815,0.0,0.102,0.162,89.772,-10.527,36.009,45.667
Generator,p100 solar,p100,Solar,1736.032,,2599113.523,,2599113.523,0.0,0.171,123.451,72364389.915,26124.79,94964157.363,36.537
Generator,p100 solar existing,p100,Solar,218.9,218.9,327691.034,,327691.034,0.0,0.171,52.275,2039648.908,2988.331,11974210.529,36.541
Generator,p101 biomass,p101,Biomass,0.0,0.0,,,,0.0,,3484493.638,0.0,,,
Generator,p101 hydrogen_ct_2050,p101,Hydrogen Combustion Turbine,3562.74,,1694953.382,,1694953.382,0.0,0.054,29514645.806,341886281.09,341175524.62,683061729.55,402.997
Generator,p101 nuclear_2050,p101,Nuclear,17947.081,,136705865.562,,136705865.562,0.0,0.87,15002975.323,6143342560.475,1554157176.443,7697499694.998,56.307
Generator,p101 offwind,p101,Fixed Bottom Offshore Wind,0.001,,2.808,,2.808,0.0,0.286,1.057,249.184,0.029,147.674,52.687
Generator,p101 onwind,p101,Onshore Wind,0.002,,2.371,,2.371,0.0,0.125,0.57,220.922,-30.611,108.876,46.037
Generator,p101 solar,p101,Solar,27647.741,,41342724.519,,41342724.519,0.0,0.171,49951.913,1129865149.516,408982.767,1130274097.794,27.339
Generator,p101 solar existing,p101,Solar,7477.0,7477.0,11193833.895,,11193833.895,0.0,0.171,318.959,69668592.44,104672.461,305669183.052,27.307
Generator,p101 waste,p101,Waste,0.0,0.0,,,,0.0,,2011278.48,0.0,,,
Generator,p102 biomass,p102,Biomass,0.0,0.0,,,,0.0,,1072654.464,0.0,,,
Generator,p102 hydrogen_ct_2050,p102,Hydrogen Combustion Turbine,3061.815,,869575.724,,869575.724,0.0,0.032,25951920.726,293816707.462,175036080.191,468852710.156,539.174
Generator,p102 nuclear,p102,Nuclear,12088.515,,59019389.085,,59019389.085,0.0,0.557,45326975.751,4034191634.288,771998409.79,4806190007.68,81.434
Generator,p102 nuclear existing,p102,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p102 nuclear_2050,p102,Nuclear,0.077,,590.639,,590.639,0.0,0.871,63.38,26483.971,6714.836,33012.715,55.897
Generator,p102 offwind,p102,Fixed Bottom Offshore Wind,0.001,,2.401,,2.401,0.0,0.29,0.908,206.501,0.026,117.039,49.481
Generator,p102 onwind,p102,Onshore Wind,0.005,,8.848,,8.848,0.0,0.197,1.116,526.232,-114.223,311.979,35.257
Generator,p102 solar,p102,Solar,20159.424,,30116853.768,,30116853.768,0.0,0.171,99523.217,823844158.287,311010.289,824155137.352,27.365
Generator,p102 solar existing,p102,Solar,2099.3,2099.3,3144838.175,,3144838.175,0.0,0.171,1741.894,19560689.596,32146.684,85823396.379,27.29
Generator,p102 waste,p102,Waste,224.3,224.3,1663917.78,,1663917.78,0.0,0.847,24838.949,,3391804.69,86205552.404,51.809
Generator,p103 biomass,p103,Biomass,0.0,0.0,,,,0.0,,2512923.569,0.0,,,
Generator,p103 hydro,p103,Reservoir & Dam,2312.34,2312.34,3118548.193,,3118548.193,0.0,0.154,174332.24,414646990.055,30323.444,102113845.49,32.744
