,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26275.05,,26275.05,0.0,1.0,79855162.59,1238808.37,252.08,1362742.93,51.86
Generator,Fixed Bottom Offshore Wind,31567.01,5221.0,159985280.17,,159985280.17,0.0,0.58,644656.93,6119403042.05,1613717.07,7127588547.3,44.55
Generator,Floating Offshore Wind,9846.22,,46854414.24,,46854414.24,0.0,0.54,75248.37,2723019358.1,438032.51,2723455946.91,58.13
Generator,Geothermal,2182.0,2182.0,15418101.43,,15418101.43,0.0,0.81,7958620.51,862836622.43,46923636.05,754146899.11,48.91
Generator,Hydrogen Combustion Turbine,137938.18,,68278661.44,,68278661.44,0.0,0.06,1140059839.13,13236772242.59,13743793688.69,26980553492.84,395.15
Generator,Nuclear,376913.0,13916.8,2241258178.05,,2241258178.05,0.0,0.68,957618296.78,125419610529.29,26011929651.3,154196468737.04,68.8
Generator,Onshore Wind,272260.4,8266.7,827615875.26,,827615875.26,0.0,0.35,434903021.52,27256699529.55,-10450499058.47,17449661083.38,21.08
Generator,Reservoir & Dam,104965.94,104965.94,280827634.13,,280827634.13,0.0,0.31,5677321.08,19212311500.64,2764410.98,12670897204.14,45.12
Generator,Solar,903248.44,88806.8,1342390754.69,,1342390754.69,0.0,0.17,200976539.96,34894978144.72,13306729.59,40291693911.97,30.01
Generator,Waste,224.3,224.3,1663917.78,,1663917.78,0.0,0.85,14337915.86,,3391804.69,86205552.4,51.81
Link,Ac,1354838.42,1354838.42,1858095940.5,1894266328.62,-36170388.13,1893788236.85,0.16,0.0,10881462872.08,19123214.81,8332296151.49,4.48
Link,Dc,20160.0,20160.0,30758730.55,31963127.34,-1204396.79,31963127.34,0.18,0.0,790521708.43,318016.42,546595331.77,17.77
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-291423735125.62,
StorageUnit,4Hr_Battery_Storage,115061.18,,121758258.64,146006571.98,-24248313.34,0.0,0.27,1032184291.22,8911615719.54,1394784.16,8912987236.66,73.2
StorageUnit,8Hr_Battery_Storage,74179.57,,129445350.62,153624872.52,-24179521.9,0.0,0.44,673992537.01,9446671219.45,1380099.71,9448028654.05,72.99
StorageUnit,Battery Storage,35511.0,35511.0,26658851.42,31536026.13,-4877174.71,0.0,0.19,315953534.72,798322791.0,272564.96,1901803241.18,71.34
