Time,Mean Hourly Price (USD)
2050-01-04 00:00:00,680.1119148382594
2050-01-04 03:00:00,631.2187999512223
2050-01-04 06:00:00,694.0317515273252
2050-01-04 09:00:00,725.6824018506339
2050-01-04 12:00:00,726.9602516856851
2050-07-08 00:00:00,328.5231753836344
2050-07-18 00:00:00,478.56028295264906
2050-07-18 03:00:00,353.813426869476
2050-07-18 06:00:00,334.2695224937838
2050-07-18 09:00:00,336.55377812688357
2050-07-18 12:00:00,347.28169687432217
2050-07-18 15:00:00,274.8960858391807
2050-07-18 21:00:00,2473.151058109078
2050-07-19 00:00:00,4487.188674439753
2050-07-19 03:00:00,4170.0042862369155
2050-07-19 06:00:00,706.9013341958384
2050-07-19 09:00:00,638.0288664616266
2050-07-25 00:00:00,3751.252008827176
2050-07-25 03:00:00,1446.598554676311
2050-07-26 00:00:00,226.82534847991198
2050-07-26 03:00:00,222.71946604801207
2050-07-27 00:00:00,227.73181586156983
2050-07-27 03:00:00,222.30467178728145
2050-08-09 00:00:00,1735.1350080957225
2050-08-09 03:00:00,1736.4494595997567
2050-08-09 06:00:00,1701.6004984957387
2050-08-09 09:00:00,1670.811770772039
2050-08-09 12:00:00,1710.5277473015192
2050-08-18 00:00:00,364.2197314887942
2050-08-18 03:00:00,360.06493401697765
2050-08-18 06:00:00,348.0396686161126
2050-08-18 09:00:00,352.6779264055409
2050-08-18 12:00:00,356.4308897820459
2050-09-06 00:00:00,632.0061064729773
2050-09-06 03:00:00,524.9859328094908
