,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26144.38,,26144.38,0.0,0.99,79855293.32,1238808.37,250.82,1354411.03,51.81
Generator,Fixed Bottom Offshore Wind,12298.59,5221.0,62486023.53,,62486023.53,0.0,0.58,46326.99,1840264894.68,653664.42,2672325894.21,42.77
Generator,Floating Offshore Wind,1721.16,,9227576.13,,9227576.13,0.0,0.61,389.58,475995407.46,87025.02,476081685.45,51.59
Generator,Geothermal,2182.0,2182.0,14500679.95,,14500679.95,0.0,0.76,8876042.34,862836622.43,44129539.45,752566560.93,51.9
Generator,Hydrogen Combustion Turbine,129288.58,,60349866.77,,60349866.77,0.0,0.05,1072218061.51,12406741743.82,12147831841.39,24554563887.31,406.87
Generator,Nuclear,396020.23,13916.8,2455363506.43,,2455363506.43,0.0,0.71,902777946.8,132023602518.61,28379415358.65,163163707733.37,66.45
Generator,Onshore Wind,243881.54,8266.7,703184421.69,,703184421.69,0.0,0.33,431098438.7,24305307344.46,-8851142585.39,16076611345.95,22.86
Generator,Reservoir & Dam,104965.94,104965.94,280362497.22,,280362497.22,0.0,0.3,6142463.26,19212311500.64,2758489.47,12511012978.06,44.62
Generator,Solar,964242.28,88806.8,1403580651.56,,1403580651.56,0.0,0.17,205673060.39,37502847273.64,13818981.79,41290283058.23,29.42
Generator,Waste,224.3,224.3,1641458.02,,1641458.02,0.0,0.84,14360375.68,,3346021.71,86209623.03,52.52
Link,Ac,1354838.42,1354838.42,1793541468.13,1829577270.77,-36035802.64,1829030383.59,0.15,0.0,10881462872.08,18460392.57,6746212342.61,3.76
Link,Dc,20160.0,20160.0,36563968.6,37962213.2,-1398244.6,37962213.2,0.21,0.0,790521708.43,378395.71,658058992.12,18.0
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-289618260346.06,
StorageUnit,4Hr_Battery_Storage,128894.72,,139325255.77,165573991.0,-26248735.23,0.0,0.27,1155366450.88,9983038015.21,1514390.72,9984533539.29,71.66
StorageUnit,8Hr_Battery_Storage,69322.99,,149545391.04,177111419.79,-27566028.75,0.0,0.54,634835382.07,8828191785.99,1576827.14,8829746296.56,59.04
StorageUnit,Battery Storage,35511.0,35511.0,31155913.8,36990518.9,-5834605.1,0.0,0.22,316910965.1,798322791.0,326193.25,1815007288.93,58.26
