,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26116.73,,26116.73,0.0,0.99,79855320.91,1238808.37,240.98,1355413.69,51.9
Generator,Fixed Bottom Offshore Wind,13110.47,5221.0,66509786.65,,66509786.65,0.0,0.58,61226.95,2020565666.29,656957.94,2846719925.59,42.8
Generator,Floating Offshore Wind,3966.86,,20306375.09,,20306375.09,0.0,0.58,11555.42,1097055070.01,206989.84,1097261018.07,54.04
Generator,Geothermal,2182.0,2182.0,15277292.44,,15277292.44,0.0,0.8,8099429.47,862836622.43,46502645.37,756005385.26,49.49
Generator,Hydrogen Combustion Turbine,134627.35,,61769270.75,,61769270.75,0.0,0.05,1117566345.99,12919059476.75,12433532164.59,25352582066.09,410.44
Generator,Nuclear,406720.9,13916.8,2514867654.05,,2514867654.05,0.0,0.71,934182871.56,135682759832.73,29055261215.19,167499561055.76,66.6
Generator,Onshore Wind,241445.45,8266.7,698024591.03,,698024591.03,0.0,0.33,429703967.02,24048100669.16,-8775278764.56,15916442121.47,22.8
Generator,Reservoir & Dam,104965.94,104965.94,282797486.96,,282797486.96,0.0,0.31,3707467.91,19212311500.64,2783663.51,12663516574.27,44.78
Generator,Solar,912011.95,88806.8,1317986172.06,,1317986172.06,0.0,0.16,199532639.07,35298265141.0,13536454.58,39306280523.72,29.82
Generator,Waste,224.3,224.3,1677040.08,,1677040.08,0.0,0.85,14324793.57,,3416788.07,86366571.53,51.5
Link,Ac,1354838.42,1354838.42,1725333236.86,1759690607.63,-34357370.77,1759131066.64,0.15,0.0,10881462872.08,17575264.03,7100896169.43,4.12
Link,Dc,20160.0,20160.0,33427731.93,34699298.25,-1271566.32,34699298.25,0.2,0.0,790521708.43,344877.96,671118421.81,20.08
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-292543300050.98,
StorageUnit,4Hr_Battery_Storage,106046.0,,107442196.05,128345295.63,-20903099.58,0.0,0.25,949866046.52,8213379602.05,1189937.44,8214552908.7,76.46
StorageUnit,8Hr_Battery_Storage,71645.53,,129472142.71,153522130.34,-24049987.63,0.0,0.45,651664830.02,9123964787.72,1348240.06,9125295971.0,70.48
StorageUnit,Battery Storage,35511.0,35511.0,26830090.29,31850590.41,-5020500.12,0.0,0.19,316096860.13,798322791.0,290320.74,1905354001.04,71.02
