,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26270.71,,26270.71,0.0,1.0,79855166.93,1238808.37,263.83,1361268.47,51.82
Generator,Fixed Bottom Offshore Wind,6042.47,5221.0,30055454.58,,30055454.58,0.0,0.57,220792.07,450901374.51,298812.96,1168086313.72,38.86
Generator,Floating Offshore Wind,0.02,,68.01,,68.01,0.0,0.4,19.3,5306.54,0.66,3915.92,57.61
Generator,Geothermal,2182.0,2182.0,13721707.24,,13721707.24,0.0,0.72,9655014.69,862836622.43,41760963.53,757878330.44,55.23
Generator,Hydrogen Combustion Turbine,99031.1,,44159844.8,,44159844.8,0.0,0.05,823352581.05,9503185070.31,8888933613.59,18392105241.84,416.49
Generator,Nuclear,368178.66,13916.8,2230962910.0,,2230962910.0,0.0,0.69,890719183.3,122510076033.96,25780863430.51,151065643715.53,67.71
Generator,Onshore Wind,291928.03,8266.7,844620249.47,,844620249.47,0.0,0.33,454764075.24,29247485655.61,-10745337241.87,18997221611.42,22.49
Generator,Reservoir & Dam,104965.94,104965.94,280568455.38,,280568455.38,0.0,0.31,5936499.77,19212311500.64,2798389.18,12848334151.63,45.79
Generator,Solar,1107179.9,88806.8,1557768239.66,,1557768239.66,0.0,0.16,226306761.35,43361861501.29,15616757.87,47892132633.41,30.74
Generator,Waste,224.3,224.3,1638752.75,,1638752.75,0.0,0.83,14363080.89,,3339723.11,85991747.69,52.47
Link,Ac,1354838.42,1354838.42,1844518340.21,1880979799.59,-36461459.37,1880540103.74,0.16,0.0,10881462872.08,18817634.59,7234322302.35,3.92
Link,Dc,20160.0,20160.0,35247647.83,36650843.51,-1403195.67,36650843.51,0.21,0.0,790521708.43,363786.68,630059504.72,17.88
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-284588818502.81,
StorageUnit,4Hr_Battery_Storage,30930.34,,40155709.73,47244133.37,-7088423.64,0.0,0.32,278038233.43,2395589240.92,393107.27,2395951447.45,59.67
StorageUnit,8Hr_Battery_Storage,166259.43,,302234427.93,360942120.07,-58707692.13,0.0,0.46,1515140258.64,21172920962.14,3293773.91,21176192432.04,70.07
StorageUnit,Battery Storage,35511.0,35511.0,29874253.13,36096125.46,-6221872.32,0.0,0.21,317298232.32,798322791.0,349958.47,1943544313.59,65.06
