,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p1 biomass,p1,Biomass,0.0,0.0,,,,0.0,,294991.488,0.0,,,
Generator,p1 hydro,p1,Reservoir & Dam,4577.9,4577.9,16681162.168,,16681162.168,0.0,0.416,145.791,876221789.496,161576.609,718413486.326,43.067
Generator,p1 hydrogen_ct_2050,p1,Hydrogen Combustion Turbine,1405.094,,616793.151,,616793.151,0.0,0.05,11691829.456,134835092.978,124154693.796,258989705.813,419.897
Generator,p1 nuclear_2050,p1,Nuclear,7806.604,,43946188.677,,43946188.677,0.0,0.643,22043976.511,2672225217.728,499628316.851,3171853471.533,72.176
Generator,p1 onwind,p1,Onshore Wind,0.002,,1.3,,1.3,0.0,0.065,0.298,243.212,-16.787,109.268,83.133
Generator,p1 onwind existing,p1,Onshore Wind,0.0,0.0,,,,0.0,,387385.627,0.0,,,
Generator,p1 solar,p1,Solar,0.028,,31.155,,31.155,0.0,0.128,10.605,1168.93,0.284,1075.765,34.494
Generator,p1 solar existing,p1,Solar,11.0,11.0,16348.078,,16348.078,0.0,0.17,153.5,102494.92,147.549,432450.991,26.453
Generator,p10 biomass,p10,Biomass,0.0,0.0,,,,0.0,,2552775.809,0.0,,,
Generator,p10 geothermal,p10,Geothermal,1106.9,1106.9,7131451.959,,7131451.959,0.0,0.735,1200785.131,447768184.622,22016505.246,401096803.715,56.243
Generator,p10 hydro,p10,Reservoir & Dam,2622.61,2622.61,5620326.407,,5620326.407,0.0,0.245,14588.096,487185683.104,55441.588,300972952.275,53.551
Generator,p10 hydrogen_ct_2050,p10,Hydrogen Combustion Turbine,3046.142,,1454821.148,,1454821.148,0.0,0.055,25229382.336,292312728.467,292839543.88,585152191.618,402.216
Generator,p10 nuclear_2050,p10,Nuclear,11581.607,,67655757.149,,67655757.149,0.0,0.667,30244966.172,3964420773.135,769204820.618,4733625527.216,69.966
Generator,p10 offwind,p10,Fixed Bottom Offshore Wind,0.002,,5.497,,5.497,0.0,0.273,1.328,512.802,0.055,420.456,76.19
Generator,p10 onwind,p10,Onshore Wind,0.002,,1.345,,1.345,0.0,0.091,0.308,175.401,-17.36,77.824,59.2
Generator,p10 onwind existing,p10,Onshore Wind,0.0,0.0,,,,0.0,,3968643.828,0.0,,,
Generator,p10 solar,p10,Solar,52894.616,,98829840.03,,98829840.03,0.0,0.213,45021.03,2277477348.313,915101.704,2278392429.705,23.054
Generator,p10 solar existing,p10,Solar,0.0,0.0,,,,0.0,,33908183.165,0.0,,,
Generator,p100 biomass,p100,Biomass,0.0,0.0,,,,0.0,,17520.0,0.0,,,
Generator,p100 hydro,p100,Reservoir & Dam,3.852,3.852,7320.672,,7320.672,0.0,0.217,19.283,690815.011,72.524,303418.464,41.447
Generator,p100 hydrogen_ct_2050,p100,Hydrogen Combustion Turbine,0.041,,22.068,,22.068,0.0,0.061,339.494,3960.733,4442.154,8295.064,375.766
Generator,p100 nuclear_2050,p100,Nuclear,284.935,,2005227.581,,2005227.581,0.0,0.803,403364.954,97534256.64,22796591.552,120330751.804,60.009
Generator,p100 onwind,p100,Onshore Wind,0.001,,0.658,,0.658,0.0,0.123,0.095,66.346,-8.497,29.59,42.25
Generator,p100 solar,p100,Solar,1735.266,,2443278.719,,2443278.719,0.0,0.161,3791.106,72332426.035,22378.248,81585342.148,33.392
Generator,p100 solar existing,p100,Solar,218.9,218.9,307281.784,,307281.784,0.0,0.16,1410.804,2039648.908,3084.029,10291785.519,33.493
Generator,p101 biomass,p101,Biomass,0.0,0.0,,,,0.0,,3484493.638,0.0,,,
Generator,p101 hydrogen_ct_2050,p101,Hydrogen Combustion Turbine,6081.622,,2554952.216,,2554952.216,0.0,0.048,50720054.439,583602301.046,514288601.376,1097890827.298,429.711
Generator,p101 nuclear_2050,p101,Nuclear,14266.648,,110642543.836,,110642543.836,0.0,0.885,9955152.372,4883518689.38,1257872953.041,6141391590.084,55.507
Generator,p101 offwind,p101,Fixed Bottom Offshore Wind,0.001,,2.251,,2.251,0.0,0.263,0.816,220.837,0.021,124.514,54.654
Generator,p101 onwind,p101,Onshore Wind,0.004,,2.785,,2.785,0.0,0.091,1.307,361.278,-35.949,143.574,51.219
Generator,p101 solar,p101,Solar,36331.532,,52998448.997,,52998448.997,0.0,0.167,24927.553,1484740879.869,539389.385,1485280230.953,28.025
Generator,p101 solar existing,p101,Solar,7477.0,7477.0,10841285.371,,10841285.371,0.0,0.166,70882.828,69668592.44,110464.5,305668782.867,28.195
Generator,p101 waste,p101,Waste,0.0,0.0,,,,0.0,,2011278.48,0.0,,,
Generator,p102 biomass,p102,Biomass,0.0,0.0,,,,0.0,,1072654.464,0.0,,,
Generator,p102 hydrogen_ct_2050,p102,Hydrogen Combustion Turbine,999.277,,463949.559,,463949.559,0.0,0.053,8289718.437,95892259.906,93388233.531,189280406.658,407.976
Generator,p102 nuclear,p102,Nuclear,8590.521,,37771604.116,,37771604.116,0.0,0.502,36380567.939,2866837504.507,494074429.179,3360911872.659,88.98
Generator,p102 nuclear existing,p102,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p102 nuclear_2050,p102,Nuclear,0.057,,430.394,,430.394,0.0,0.855,55.57,19678.754,4893.493,24399.299,56.693
Generator,p102 offwind,p102,Fixed Bottom Offshore Wind,0.001,,3.414,,3.414,0.0,0.277,1.16,313.915,0.033,216.105,63.256
Generator,p102 onwind,p102,Onshore Wind,0.002,,2.648,,2.648,0.0,0.132,0.519,233.886,-34.19,122.747,46.7
Generator,p102 solar,p102,Solar,45037.279,,65506149.445,,65506149.445,0.0,0.166,491193.247,1840513908.925,613658.299,1884136670.789,28.763
Generator,p102 solar existing,p102,Solar,2099.3,2099.3,2934810.092,,2934810.092,0.0,0.16,141490.79,19560689.596,28328.17,87823171.862,29.925
Generator,p102 waste,p102,Waste,224.3,224.3,1638752.754,,1638752.754,0.0,0.834,50003.975,,3339723.106,85991747.691,52.474
Generator,p103 biomass,p103,Biomass,0.0,0.0,,,,0.0,,2512923.569,0.0,,,
Generator,p103 hydro,p103,Reservoir & Dam,2312.34,2312.34,3292610.501,,3292610.501,0.0,0.163,269.932,414646990.055,31666.687,113871021.936,34.584
