,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,25885.23,,25885.23,0.0,0.98,79855552.38,1238808.37,259.95,1346094.68,52.0
Generator,Fixed Bottom Offshore Wind,14144.66,5221.0,72056136.06,,72056136.06,0.0,0.58,150977.71,2250240490.87,717233.16,3111107411.08,43.18
Generator,Floating Offshore Wind,2790.61,,14933062.44,,14933062.44,0.0,0.61,10193.58,771755495.31,147804.82,771901817.71,51.69
Generator,Geothermal,2182.0,2182.0,13814102.92,,13814102.92,0.0,0.72,9562618.85,862836622.43,42040675.04,763496713.25,55.27
Generator,Hydrogen Combustion Turbine,125606.61,,58455930.75,,58455930.75,0.0,0.05,1041857948.91,12053414017.97,11766591523.98,23819992842.4,407.49
Generator,Nuclear,365518.62,13916.8,2246786742.11,,2246786742.11,0.0,0.7,852248854.05,121654277824.88,25951710890.38,150372227738.93,66.93
Generator,Onshore Wind,240918.48,8266.7,695276678.22,,695276678.22,0.0,0.33,429983584.34,24008517690.85,-8763224326.47,15881111502.69,22.84
Generator,Reservoir & Dam,104965.94,104965.94,280092460.15,,280092460.15,0.0,0.3,6412492.78,19212311500.64,2793343.9,12715681210.65,45.4
Generator,Solar,1136633.71,88806.8,1618143865.11,,1618143865.11,0.0,0.16,247337723.67,44688861951.76,16240536.07,49074073154.44,30.33
Generator,Waste,224.3,224.3,1631699.66,,1631699.66,0.0,0.83,14370133.96,,3325349.14,86086291.33,52.76
Link,Ac,1354838.42,1354838.42,1844997235.88,1882024724.84,-37027488.96,1881578415.22,0.16,0.0,10881462872.08,18798354.15,7390001443.28,4.01
Link,Dc,20160.0,20160.0,36962183.09,38367614.67,-1405431.58,38367614.67,0.22,0.0,790521708.43,381467.63,663141111.88,17.94
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-289691901636.26,
StorageUnit,4Hr_Battery_Storage,44626.11,,58141659.53,68403789.23,-10262129.7,0.0,0.32,401186857.01,3456341495.42,559107.09,3456875000.45,59.46
StorageUnit,8Hr_Battery_Storage,153207.39,,291066090.65,344187137.82,-53121047.17,0.0,0.47,1395217772.27,19510761114.49,2976958.82,19513717822.49,67.04
StorageUnit,Battery Storage,35511.0,35511.0,30809034.11,36570255.41,-5761221.3,0.0,0.22,316837581.3,798322791.0,322744.4,2071148717.98,67.23
