,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p1 biomass,p1,Biomass,0.0,0.0,,,,0.0,,294991.488,0.0,,,
Generator,p1 hydro,p1,Reservoir & Dam,4577.9,4577.9,16681155.499,,16681155.499,0.0,0.416,152.434,876221789.496,161576.545,723298246.019,43.36
Generator,p1 hydrogen_ct_2050,p1,Hydrogen Combustion Turbine,1076.81,,326860.529,,326860.529,0.0,0.035,9105994.961,103332435.136,65793968.135,169126318.014,517.426
Generator,p1 nuclear_2050,p1,Nuclear,8027.913,,44014152.914,,44014152.914,0.0,0.626,23846760.532,2747979849.652,500401008.596,3248380789.416,73.803
Generator,p1 onwind,p1,Onshore Wind,0.003,,1.983,,1.983,0.0,0.076,0.673,319.559,-25.602,164.825,81.826
Generator,p1 onwind existing,p1,Onshore Wind,0.0,0.0,,,,0.0,,519634.464,0.0,,,
Generator,p1 solar,p1,Solar,0.442,,585.375,,585.375,0.0,0.151,95.223,18587.07,5.341,18503.767,31.612
Generator,p1 solar existing,p1,Solar,11.0,11.0,16775.078,,16775.078,0.0,0.174,146.116,102494.92,151.403,460930.006,27.477
Generator,p10 biomass,p10,Biomass,0.0,0.0,,,,0.0,,2552775.809,0.0,,,
Generator,p10 geothermal,p10,Geothermal,1106.9,1106.9,7165673.877,,7165673.877,0.0,0.739,1166563.186,447768184.622,22122156.527,402902481.84,56.227
Generator,p10 hydro,p10,Reservoir & Dam,2622.61,2622.61,5625125.139,,5625125.139,0.0,0.245,9789.337,487185683.104,55488.925,309415356.839,55.006
Generator,p10 hydrogen_ct_2050,p10,Hydrogen Combustion Turbine,4862.548,,1549990.687,,1549990.687,0.0,0.036,41045929.196,466617996.304,311996128.357,778614049.291,502.335
Generator,p10 nuclear_2050,p10,Nuclear,13467.973,,76653519.265,,76653519.265,0.0,0.65,37192878.87,4610129633.454,871503904.78,5481633480.382,71.512
Generator,p10 offwind,p10,Fixed Bottom Offshore Wind,0.002,,4.477,,4.477,0.0,0.3,1.3,377.705,0.045,282.653,63.275
Generator,p10 onwind,p10,Onshore Wind,0.002,,1.336,,1.336,0.0,0.088,0.391,182.684,-17.252,78.275,59.6
Generator,p10 onwind existing,p10,Onshore Wind,0.0,0.0,,,,0.0,,4154837.749,0.0,,,
Generator,p10 solar,p10,Solar,46533.298,,89202155.298,,89202155.298,0.0,0.219,50819.572,2003578830.727,825955.443,2004404766.929,22.47
Generator,p10 solar existing,p10,Solar,0.0,0.0,,,,0.0,,34792766.822,0.0,,,
Generator,p100 biomass,p100,Biomass,0.0,0.0,,,,0.0,,17520.0,0.0,,,
Generator,p100 hydro,p100,Reservoir & Dam,3.852,3.852,7315.853,,7315.853,0.0,0.217,24.076,690815.011,72.476,313789.928,42.892
Generator,p100 hydrogen_ct_2050,p100,Hydrogen Combustion Turbine,77.21,,43066.466,,43066.466,0.0,0.064,633291.947,7409183.991,8668880.642,16077969.931,373.329
Generator,p100 nuclear_2050,p100,Nuclear,320.931,,2219403.114,,2219403.114,0.0,0.789,493463.85,109855635.19,25231463.383,135087003.477,60.866
Generator,p100 onwind,p100,Onshore Wind,0.001,,0.652,,0.652,0.0,0.083,0.159,86.254,-8.415,29.785,48.571
Generator,p100 solar,p100,Solar,1734.436,,2502516.639,,2502516.639,0.0,0.165,19.305,72297850.131,22920.814,79019976.63,31.576
Generator,p100 solar existing,p100,Solar,218.9,218.9,315815.22,,315815.22,0.0,0.165,25.259,2039648.908,3169.675,9972940.749,31.578
Generator,p101 biomass,p101,Biomass,0.0,0.0,,,,0.0,,3484493.638,0.0,,,
Generator,p101 hydrogen_ct_2050,p101,Hydrogen Combustion Turbine,3331.288,,1882476.08,,1882476.08,0.0,0.065,27299603.081,319675765.748,378925282.485,698600967.839,371.107
Generator,p101 nuclear_2050,p101,Nuclear,19139.746,,149070972.305,,149070972.305,0.0,0.889,12719611.379,6551595627.73,1694758070.862,8246353671.97,55.318
Generator,p101 offwind,p101,Fixed Bottom Offshore Wind,0.001,,2.255,,2.255,0.0,0.243,0.866,237.479,0.021,133.127,58.462
Generator,p101 onwind,p101,Onshore Wind,0.004,,2.577,,2.577,0.0,0.072,1.697,415.08,-33.275,159.667,62.862
Generator,p101 solar,p101,Solar,4381.545,,6381504.588,,6381504.588,0.0,0.166,541.096,179058202.963,64947.482,179123088.666,28.069
Generator,p101 solar existing,p101,Solar,7477.0,7477.0,10889815.083,,10889815.083,0.0,0.166,990.964,69668592.44,110958.981,305669223.223,28.069
Generator,p101 waste,p101,Waste,0.0,0.0,,,,0.0,,2011278.48,0.0,,,
Generator,p102 biomass,p102,Biomass,0.0,0.0,,,,0.0,,1072654.464,0.0,,,
Generator,p102 hydrogen_ct_2050,p102,Hydrogen Combustion Turbine,5114.271,,2191216.933,,2191216.933,0.0,0.049,42609796.818,490773748.438,441069238.648,931842914.125,425.263
Generator,p102 nuclear,p102,Nuclear,8726.141,,39018186.705,,39018186.705,0.0,0.51,36304640.461,2912096839.247,510380450.471,3422477230.435,87.715
Generator,p102 nuclear existing,p102,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p102 nuclear_2050,p102,Nuclear,0.046,,342.968,,342.968,0.0,0.851,46.058,15753.314,3899.475,19494.685,56.843
Generator,p102 offwind,p102,Fixed Bottom Offshore Wind,0.001,,2.181,,2.181,0.0,0.238,0.879,234.033,0.021,135.115,61.68
Generator,p102 onwind,p102,Onshore Wind,0.002,,1.825,,1.825,0.0,0.115,0.478,187.479,-23.565,80.12,43.571
Generator,p102 solar,p102,Solar,45011.89,,66027839.028,,66027839.028,0.0,0.167,653417.41,1839476338.752,618545.461,1863374864.077,28.221
Generator,p102 solar existing,p102,Solar,2099.3,2099.3,2978372.786,,2978372.786,0.0,0.162,131560.202,19560689.596,28748.658,86904565.074,29.179
Generator,p102 waste,p102,Waste,224.3,224.3,1631699.659,,1631699.659,0.0,0.83,57057.046,,3325349.136,86086291.331,52.759
Generator,p103 biomass,p103,Biomass,0.0,0.0,,,,0.0,,2512923.569,0.0,,,
Generator,p103 hydro,p103,Reservoir & Dam,2312.34,2312.34,3292630.004,,3292630.004,0.0,0.163,250.403,414646990.055,31666.875,111207011.568,33.775
