,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p1 biomass,p1,Biomass,0.0,0.0,,,,0.0,,294991.488,0.0,,,
Generator,p1 hydro,p1,Reservoir & Dam,4577.9,4577.9,16681180.743,,16681180.743,0.0,0.416,127.258,876221789.496,161576.789,703115460.748,42.15
Generator,p1 hydrogen_ct_2050,p1,Hydrogen Combustion Turbine,985.682,,605641.335,,605641.335,0.0,0.07,8028936.845,94587687.742,121909600.774,216497217.081,357.468
Generator,p1 nuclear_2050,p1,Nuclear,6760.284,,37670418.16,,37670418.16,0.0,0.636,19475081.667,2314066728.858,428299436.7,2742366109.909,72.799
Generator,p1 onwind,p1,Onshore Wind,0.004,,2.061,,2.061,0.0,0.062,0.891,405.475,-26.611,156.513,74.458
Generator,p1 onwind existing,p1,Onshore Wind,0.0,0.0,,,,0.0,,442569.746,0.0,,,
Generator,p1 solar,p1,Solar,7764.06,,12097371.15,,12097371.15,0.0,0.178,149.146,326173644.415,110371.759,326283989.005,26.971
Generator,p1 solar existing,p1,Solar,11.0,11.0,17049.471,,17049.471,0.0,0.177,90.146,102494.92,153.88,462257.683,27.113
Generator,p10 biomass,p10,Biomass,0.0,0.0,,,,0.0,,2552775.809,0.0,,,
Generator,p10 geothermal,p10,Geothermal,1106.9,1106.9,7723993.628,,7723993.628,0.0,0.797,608243.504,447768184.622,23845823.711,399066752.516,51.666
Generator,p10 hydro,p10,Reservoir & Dam,2622.61,2622.61,5632999.948,,5632999.948,0.0,0.245,1914.596,487185683.104,55566.606,314179760.551,55.775
Generator,p10 hydrogen_ct_2050,p10,Hydrogen Combustion Turbine,3822.429,,2156196.521,,2156196.521,0.0,0.064,31328277.991,366806455.812,434021642.918,800828032.118,371.408
Generator,p10 nuclear_2050,p10,Nuclear,15162.924,,92634275.229,,92634275.229,0.0,0.697,35539747.534,5190316691.758,1053069609.734,6243386256.872,67.398
Generator,p10 offwind,p10,Fixed Bottom Offshore Wind,0.001,,3.692,,3.692,0.0,0.318,1.066,292.763,0.037,229.774,62.452
Generator,p10 onwind,p10,Onshore Wind,0.001,,1.056,,1.056,0.0,0.087,0.27,146.582,-13.632,54.974,52.333
Generator,p10 onwind existing,p10,Onshore Wind,0.0,0.0,,,,0.0,,3483098.474,0.0,,,
Generator,p10 solar,p10,Solar,42796.852,,81788617.114,,81788617.114,0.0,0.218,19711.005,1842699086.227,757310.777,1843456378.983,22.539
Generator,p10 solar existing,p10,Solar,0.0,0.0,,,,0.0,,34674946.297,0.0,,,
Generator,p100 biomass,p100,Biomass,0.0,0.0,,,,0.0,,17520.0,0.0,,,
Generator,p100 hydro,p100,Reservoir & Dam,3.852,3.852,7318.307,,7318.307,0.0,0.217,21.69,690815.011,72.5,360048.09,49.198
Generator,p100 hydrogen_ct_2050,p100,Hydrogen Combustion Turbine,40.703,,21930.551,,21930.551,0.0,0.062,334629.742,3905948.022,4414391.384,8320267.267,379.391
Generator,p100 nuclear_2050,p100,Nuclear,335.232,,2206742.026,,2206742.026,0.0,0.751,627014.632,114750977.758,25090070.475,139840988.53,63.37
Generator,p100 onwind,p100,Onshore Wind,0.001,,0.72,,0.72,0.0,0.151,0.045,53.963,-9.299,38.028,54.25
Generator,p100 solar,p100,Solar,1736.033,,2599186.875,,2599186.875,0.0,0.171,50.391,72364397.406,23806.227,97226445.731,37.406
Generator,p100 solar existing,p100,Solar,218.9,218.9,327222.743,,327222.743,0.0,0.171,520.592,2039648.908,3284.166,12259471.811,37.465
Generator,p101 biomass,p101,Biomass,0.0,0.0,,,,0.0,,3484493.638,0.0,,,
Generator,p101 hydrogen_ct_2050,p101,Hydrogen Combustion Turbine,2781.504,,1358933.072,,1358933.072,0.0,0.056,23007040.061,266917620.105,273539366.275,540456919.083,397.707
Generator,p101 nuclear_2050,p101,Nuclear,18644.534,,141115295.201,,141115295.201,0.0,0.864,16489195.313,6382082735.589,1604465158.865,7986547855.624,56.596
Generator,p101 offwind,p101,Fixed Bottom Offshore Wind,0.001,,2.335,,2.335,0.0,0.31,0.721,193.088,0.022,128.485,54.333
Generator,p101 onwind,p101,Onshore Wind,0.002,,2.493,,2.493,0.0,0.122,0.696,235.678,-32.18,116.415,47.464
Generator,p101 solar,p101,Solar,20677.177,,30953333.308,,30953333.308,0.0,0.171,3398.255,845002911.724,315026.189,845317914.146,27.309
Generator,p101 solar existing,p101,Solar,7477.0,7477.0,11162245.618,,11162245.618,0.0,0.17,31907.259,69668592.44,113734.842,305672062.18,27.384
Generator,p101 waste,p101,Waste,0.0,0.0,,,,0.0,,2011278.48,0.0,,,
Generator,p102 biomass,p102,Biomass,0.0,0.0,,,,0.0,,1072654.464,0.0,,,
Generator,p102 hydrogen_ct_2050,p102,Hydrogen Combustion Turbine,3602.236,,955998.948,,955998.948,0.0,0.03,30599584.964,345676378.815,192433784.68,538110099.139,562.877
Generator,p102 nuclear,p102,Nuclear,11587.825,,56714602.183,,56714602.183,0.0,0.559,43309877.021,3867100860.101,741859800.644,4608960621.341,81.266
Generator,p102 nuclear existing,p102,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p102 nuclear_2050,p102,Nuclear,0.053,,392.383,,392.383,0.0,0.847,54.477,18094.959,4460.856,22402.077,57.096
Generator,p102 offwind,p102,Fixed Bottom Offshore Wind,0.001,,1.968,,1.968,0.0,0.314,0.607,155.834,0.019,100.611,52.227
Generator,p102 onwind,p102,Onshore Wind,0.004,,7.448,,7.448,0.0,0.202,0.769,430.797,-96.144,271.08,36.412
Generator,p102 solar,p102,Solar,25806.107,,38517104.684,,38517104.684,0.0,0.17,162923.423,1054604104.257,360826.291,1054964912.819,27.39
Generator,p102 solar existing,p102,Solar,2099.3,2099.3,3047660.717,,3047660.717,0.0,0.166,98919.374,19560689.596,29417.457,85819477.039,28.159
Generator,p102 waste,p102,Waste,224.3,224.3,1654082.717,,1654082.717,0.0,0.842,34674.054,,3370965.056,86114404.484,52.062
Generator,p103 biomass,p103,Biomass,0.0,0.0,,,,0.0,,2512923.569,0.0,,,
Generator,p103 hydro,p103,Reservoir & Dam,2312.34,2312.34,3292053.045,,3292053.045,0.0,0.163,827.43,414646990.055,31661.326,110317858.97,33.51
