,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26275.39,,26275.39,0.0,1.0,79855162.3,1238808.37,263.87,1361619.68,51.82
Generator,Fixed Bottom Offshore Wind,32868.97,5221.0,167097797.15,,167097797.15,0.0,0.58,233148.78,6408542308.35,1635830.03,7459449865.13,44.64
Generator,Floating Offshore Wind,8194.56,,38647503.93,,38647503.93,0.0,0.54,551981.7,2266244515.11,381224.51,2266624763.98,58.65
Generator,Geothermal,2182.0,2182.0,14941020.6,,14941020.6,0.0,0.78,8435701.58,862836622.43,45470231.81,753691481.16,50.44
Generator,Hydrogen Combustion Turbine,140715.83,,68191079.1,,68191079.1,0.0,0.06,1164479599.3,13503319651.18,13726177578.46,27229486173.91,399.31
Generator,Nuclear,374731.58,13916.8,2233194753.04,,2233194753.04,0.0,0.68,947252067.02,124691135295.52,25918989146.13,153376630611.66,68.68
Generator,Onshore Wind,271808.89,8266.7,826036911.63,,826036911.63,0.0,0.35,435863916.59,27210124745.18,-10431991238.52,17421946965.12,21.09
Generator,Reservoir & Dam,104965.94,104965.94,281416647.26,,281416647.26,0.0,0.31,5088311.53,19212311500.64,2807791.12,12804199080.23,45.5
Generator,Solar,912085.29,88806.8,1358107208.28,,1358107208.28,0.0,0.17,201292908.85,35282494298.61,13601898.78,40603378614.6,29.9
Generator,Waste,224.3,224.3,1654082.72,,1654082.72,0.0,0.84,14347750.97,,3370965.06,86114404.48,52.06
Link,Ac,1354838.42,1354838.42,1917306677.55,1954894310.46,-37587632.91,1954313048.16,0.16,0.0,10881462872.08,19469031.73,8372609551.95,4.37
Link,Dc,20160.0,20160.0,30717888.44,31900115.74,-1182227.29,31900115.74,0.18,0.0,790521708.43,317576.48,548393582.59,17.85
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-291062024877.24,
StorageUnit,4Hr_Battery_Storage,117349.92,,134238234.47,160265627.04,-26027392.57,0.0,0.29,1054012719.01,9088881035.67,1474934.81,9090333756.4,67.72
StorageUnit,8Hr_Battery_Storage,71348.43,,134215465.88,159541102.16,-25325636.28,0.0,0.47,650337867.01,9086129262.38,1403344.88,9087508539.84,67.71
StorageUnit,Battery Storage,35511.0,35511.0,30576754.77,36127774.93,-5551020.16,0.0,0.21,316627380.16,798322791.0,310716.02,1960309071.45,64.11
