Region,Carrier,2050
ERCOT,4Hr_Battery_Storage,7150.843
ERCOT,8Hr_Battery_Storage,9109.155
ERCOT,Battery Storage,10332.2
ERCOT,Biomass,0.0
ERCOT,Fixed Bottom Offshore Wind,0.002
ERCOT,Floating Offshore Wind,0.0
ERCOT,Hydrogen Combustion Turbine,12567.546999999999
ERCOT,Nuclear,41066.498
ERCOT,Onshore Wind,43712.889
ERCOT,Reservoir & Dam,555.1
ERCOT,Solar,103289.812
MISO,4Hr_Battery_Storage,40627.959
MISO,8Hr_Battery_Storage,15445.246
MISO,Battery Storage,628.4
MISO,Biomass,0.0
MISO,Fixed Bottom Offshore Wind,0.003
MISO,Floating Offshore Wind,0.0
MISO,Hydrogen Combustion Turbine,32641.697
MISO,Nuclear,41307.854
MISO,Onshore Wind,97061.654
MISO,Reservoir & Dam,5852.283
MISO,Solar,208850.633
MISO,Waste,0.0
NPCC_NE,4Hr_Battery_Storage,1626.422
NPCC_NE,8Hr_Battery_Storage,1689.551
NPCC_NE,Battery Storage,592.6999999999999
NPCC_NE,Biomass,0.0
NPCC_NE,Fixed Bottom Offshore Wind,3259.167
NPCC_NE,Floating Offshore Wind,0.002
NPCC_NE,Hydrogen Combustion Turbine,6179.892
NPCC_NE,Nuclear,11666.588
NPCC_NE,Onshore Wind,0.032
NPCC_NE,Reservoir & Dam,3907.547
NPCC_NE,Solar,14706.965
NPCC_NE,Waste,0.0
NPCC_NY,4Hr_Battery_Storage,1322.752
NPCC_NY,8Hr_Battery_Storage,897.294
NPCC_NY,Battery Storage,259.5
NPCC_NY,Biomass,3.0
NPCC_NY,Fixed Bottom Offshore Wind,0.008
NPCC_NY,Floating Offshore Wind,0.001
NPCC_NY,Hydrogen Combustion Turbine,8843.835000000001
NPCC_NY,Nuclear,14414.47
NPCC_NY,Onshore Wind,1243.286
NPCC_NY,Reservoir & Dam,6425.571
NPCC_NY,Solar,10358.305
NPCC_NY,Waste,0.0
PJM,4Hr_Battery_Storage,18433.037
PJM,8Hr_Battery_Storage,5447.435
PJM,Battery Storage,400.4
PJM,Biomass,0.0
PJM,Fixed Bottom Offshore Wind,15634.01
PJM,Floating Offshore Wind,0.006
PJM,Hydrogen Combustion Turbine,31320.45
PJM,Nuclear,100238.663
PJM,Onshore Wind,34610.057
PJM,Reservoir & Dam,10992.449
PJM,Solar,113244.888
PJM,Waste,0.0
SERC,4Hr_Battery_Storage,35457.479
SERC,8Hr_Battery_Storage,2.741
SERC,Battery Storage,1369.0
SERC,Biomass,0.0
SERC,Fixed Bottom Offshore Wind,13874.932
SERC,Floating Offshore Wind,0.002
SERC,Hydrogen Combustion Turbine,21848.157
SERC,Nuclear,99734.28
SERC,Onshore Wind,0.044
SERC,Reservoir & Dam,19944.974000000002
SERC,Solar,197799.479
SERC,Waste,224.3
SPP,4Hr_Battery_Storage,12610.276
SPP,8Hr_Battery_Storage,10429.289
SPP,Battery Storage,228.8
SPP,Biomass,0.0
SPP,Hydrogen Combustion Turbine,9624.94
SPP,Nuclear,7195.807
SPP,Onshore Wind,52395.615
SPP,Reservoir & Dam,4628.577
SPP,Solar,92154.269
WECC_CA,4Hr_Battery_Storage,0.357
WECC_CA,8Hr_Battery_Storage,12911.339
WECC_CA,Battery Storage,13860.9
WECC_CA,Biomass,0.0
WECC_CA,Fixed Bottom Offshore Wind,0.002
WECC_CA,Floating Offshore Wind,671.657
WECC_CA,Geothermal,1106.9
WECC_CA,Hydrogen Combustion Turbine,5457.398
WECC_CA,Nuclear,23778.311
WECC_CA,Onshore Wind,0.013000000000000001
WECC_CA,Reservoir & Dam,12911.837000000001
WECC_CA,Solar,94640.114
WECC_NWPP,4Hr_Battery_Storage,114.705
WECC_NWPP,8Hr_Battery_Storage,13076.552
WECC_NWPP,Battery Storage,3446.3
WECC_NWPP,Biomass,0.0
WECC_NWPP,Fixed Bottom Offshore Wind,100.845
WECC_NWPP,Floating Offshore Wind,7522.895
WECC_NWPP,Geothermal,1055.8999999999999
WECC_NWPP,Hydrogen Combustion Turbine,9296.231
WECC_NWPP,Nuclear,19344.167999999998
WECC_NWPP,Onshore Wind,37730.193
WECC_NWPP,Reservoir & Dam,37832.89
WECC_NWPP,Solar,58349.288
WECC_NWPP,Waste,0.0
WECC_SRSG,4Hr_Battery_Storage,6.094
WECC_SRSG,8Hr_Battery_Storage,2339.8320000000003
WECC_SRSG,Battery Storage,4392.8
WECC_SRSG,Biomass,0.0
WECC_SRSG,Geothermal,19.2
WECC_SRSG,Hydrogen Combustion Turbine,2935.679
WECC_SRSG,Nuclear,15984.941
WECC_SRSG,Onshore Wind,5055.107000000001
WECC_SRSG,Reservoir & Dam,1914.711
WECC_SRSG,Solar,18691.54
