,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p1 biomass,p1,Biomass,0.0,0.0,,,,0.0,,294991.488,0.0,,,
Generator,p1 hydro,p1,Reservoir & Dam,4577.9,4577.9,16681253.71,,16681253.71,0.0,0.416,54.268,876221789.496,161577.496,706646641.121,42.362
Generator,p1 hydrogen_ct_2050,p1,Hydrogen Combustion Turbine,1038.838,,457721.915,,457721.915,0.0,0.05,8642498.689,99688578.52,92135141.31,191823650.557,419.083
Generator,p1 nuclear_2050,p1,Nuclear,7798.334,,46838400.152,,46838400.152,0.0,0.686,19081858.54,2669394403.451,532510138.787,3201904504.69,68.361
Generator,p1 onwind,p1,Onshore Wind,0.003,,1.751,,1.751,0.0,0.06,0.488,348.004,-22.61,165.154,94.25
Generator,p1 onwind existing,p1,Onshore Wind,0.0,0.0,,,,0.0,,387385.627,0.0,,,
Generator,p1 solar,p1,Solar,0.033,,43.724,,43.724,0.0,0.152,5.674,1382.705,0.399,1324.711,30.305
Generator,p1 solar existing,p1,Solar,11.0,11.0,16453.081,,16453.081,0.0,0.171,48.501,102494.92,148.497,446980.072,27.167
Generator,p10 biomass,p10,Biomass,0.0,0.0,,,,0.0,,2552775.809,0.0,,,
Generator,p10 geothermal,p10,Geothermal,1106.9,1106.9,7826949.102,,7826949.102,0.0,0.807,505288.007,447768184.622,24163671.991,399509429.988,51.043
Generator,p10 hydro,p10,Reservoir & Dam,2622.61,2622.61,5633214.694,,5633214.694,0.0,0.245,1699.827,487185683.104,55568.725,308042688.478,54.683
Generator,p10 hydrogen_ct_2050,p10,Hydrogen Combustion Turbine,3756.196,,1587012.059,,1587012.059,0.0,0.048,31317268.323,360450705.707,319448124.647,679898764.522,428.414
Generator,p10 nuclear_2050,p10,Nuclear,13982.201,,83973305.978,,83973305.978,0.0,0.686,34219925.898,4786151601.359,954725428.902,5740876988.512,68.365
Generator,p10 offwind,p10,Fixed Bottom Offshore Wind,0.001,,3.118,,3.118,0.0,0.267,0.906,299.132,0.031,232.421,73.694
Generator,p10 onwind,p10,Onshore Wind,0.002,,1.505,,1.505,0.0,0.093,0.335,194.759,-19.434,87.894,59.0
Generator,p10 onwind existing,p10,Onshore Wind,0.0,0.0,,,,0.0,,3968643.828,0.0,,,
Generator,p10 solar,p10,Solar,48140.106,,89987161.854,,89987161.854,0.0,0.213,187.917,2072762970.639,833224.107,2073596176.937,23.043
Generator,p10 solar existing,p10,Solar,0.0,0.0,,,,0.0,,33908183.165,0.0,,,
Generator,p100 biomass,p100,Biomass,0.0,0.0,,,,0.0,,17520.0,0.0,,,
Generator,p100 hydro,p100,Reservoir & Dam,3.852,3.852,7334.336,,7334.336,0.0,0.217,5.639,690815.011,72.659,332228.039,45.298
Generator,p100 hydrogen_ct_2050,p100,Hydrogen Combustion Turbine,0.036,,19.074,,19.074,0.0,0.06,298.717,3481.226,3839.426,7224.066,378.289
Generator,p100 nuclear_2050,p100,Nuclear,367.224,,2551271.89,,2551271.89,0.0,0.793,552914.958,125701857.936,29004340.344,154706133.995,60.639
Generator,p100 onwind,p100,Onshore Wind,0.0,,0.557,,0.557,0.0,0.14,0.046,44.314,-7.191,27.635,52.5
Generator,p100 solar,p100,Solar,1735.266,,2447066.967,,2447066.967,0.0,0.161,4.038,72332460.691,22412.945,83214714.331,34.006
Generator,p100 solar existing,p100,Solar,218.9,218.9,308688.216,,308688.216,0.0,0.161,4.379,2039648.908,3098.145,10497335.949,34.006
Generator,p101 biomass,p101,Biomass,0.0,0.0,,,,0.0,,3484493.638,0.0,,,
Generator,p101 hydrogen_ct_2050,p101,Hydrogen Combustion Turbine,5972.61,,2522060.482,,2522060.482,0.0,0.048,49798003.401,573141358.202,507667794.98,1080809090.825,428.542
Generator,p101 nuclear_2050,p101,Nuclear,18396.311,,143873682.681,,143873682.681,0.0,0.893,11632551.613,6297115329.416,1635671124.556,7932786422.369,55.137
Generator,p101 offwind,p101,Fixed Bottom Offshore Wind,0.001,,1.868,,1.868,0.0,0.266,0.604,175.24,0.018,104.736,56.952
Generator,p101 onwind,p101,Onshore Wind,0.003,,2.624,,2.624,0.0,0.097,0.99,315.625,-33.88,132.258,50.333
Generator,p101 solar,p101,Solar,14617.443,,21330594.928,,21330594.928,0.0,0.167,2559.59,597363062.222,217091.192,597580121.895,28.015
Generator,p101 solar existing,p101,Solar,7477.0,7477.0,10898955.517,,10898955.517,0.0,0.166,13212.69,69668592.44,111052.115,305669375.408,28.046
Generator,p101 waste,p101,Waste,0.0,0.0,,,,0.0,,2011278.48,0.0,,,
Generator,p102 biomass,p102,Biomass,0.0,0.0,,,,0.0,,1072654.464,0.0,,,
Generator,p102 hydrogen_ct_2050,p102,Hydrogen Combustion Turbine,1355.417,,546197.613,,546197.613,0.0,0.046,11327254.846,130068011.446,109943913.599,240011853.908,439.423
Generator,p102 nuclear,p102,Nuclear,10374.586,,52217420.934,,52217420.934,0.0,0.575,37334547.518,3462217419.123,683034068.703,4145251447.359,79.384
Generator,p102 nuclear existing,p102,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p102 nuclear_2050,p102,Nuclear,0.082,,628.897,,628.897,0.0,0.877,63.306,28030.186,7150.43,35020.272,55.687
Generator,p102 offwind,p102,Fixed Bottom Offshore Wind,0.001,,2.458,,2.458,0.0,0.283,0.8,220.418,0.024,150.226,61.25
Generator,p102 onwind,p102,Onshore Wind,0.002,,1.956,,1.956,0.0,0.138,0.329,163.892,-25.246,89.624,46.5
Generator,p102 solar,p102,Solar,31139.326,,45342375.529,,45342375.529,0.0,0.166,288994.456,1272553828.563,424765.084,1272978573.656,28.075
Generator,p102 solar existing,p102,Solar,2099.3,2099.3,2990569.173,,2990569.173,0.0,0.163,85731.717,19560689.596,28866.383,85818940.771,28.697
Generator,p102 waste,p102,Waste,224.3,224.3,1666624.241,,1666624.241,0.0,0.848,22132.507,,3396524.262,86234761.748,51.742
Generator,p103 biomass,p103,Biomass,0.0,0.0,,,,0.0,,2512923.569,0.0,,,
Generator,p103 hydro,p103,Reservoir & Dam,2312.34,2312.34,3292346.662,,3292346.662,0.0,0.163,533.791,414646990.055,31664.15,108960206.897,33.095
