,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26275.91,,26275.91,0.0,1.0,79855161.75,1238808.37,263.88,1362534.62,51.85
Generator,Fixed Bottom Offshore Wind,8359.32,5221.0,42600750.0,,42600750.0,0.0,0.58,191804.75,965428897.03,427593.07,1705272131.03,40.03
Generator,Floating Offshore Wind,0.03,,129.63,,129.63,0.0,0.47,17.56,8778.42,1.24,7675.85,59.21
Generator,Geothermal,2182.0,2182.0,15092543.39,,15092543.39,0.0,0.79,8284178.65,862836622.43,45932187.67,754245240.65,49.97
Generator,Hydrogen Combustion Turbine,109391.55,,49612186.39,,49612186.39,0.0,0.05,908657809.32,10497390982.03,9986436509.11,20483816240.78,412.88
Generator,Nuclear,405563.88,13916.8,2486612553.58,,2486612553.58,0.0,0.7,951961785.49,135299300882.72,28708106730.46,166774073548.77,67.07
Generator,Onshore Wind,289716.4,8266.7,838750675.76,,838750675.76,0.0,0.33,453659271.86,29014038420.3,-10627769558.18,18899854885.1,22.53
Generator,Reservoir & Dam,104965.94,104965.94,282812645.07,,282812645.07,0.0,0.31,3692311.81,19212311500.64,2821766.98,12792064492.19,45.23
Generator,Solar,893087.18,88806.8,1266440090.26,,1266440090.26,0.0,0.16,189387557.88,34451837448.69,12706351.73,38669810465.2,30.53
Generator,Waste,224.3,224.3,1666624.24,,1666624.24,0.0,0.85,14335209.42,,3396524.26,86234761.75,51.74
Link,Ac,1354838.42,1354838.42,1792763226.43,1828031979.57,-35268753.14,1827574772.17,0.15,0.0,10881462872.08,18269889.78,7532733004.98,4.2
Link,Dc,20160.0,20160.0,30812977.52,32004788.42,-1191810.91,32004788.42,0.18,0.0,790521708.43,318045.49,599835376.59,19.47
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-287591474577.81,
StorageUnit,4Hr_Battery_Storage,118975.71,,123728668.9,148962865.55,-25234196.66,0.0,0.26,1067461453.32,9214800352.11,1435296.67,9216214105.59,74.49
StorageUnit,8Hr_Battery_Storage,64053.46,,110950738.96,132916576.44,-21965837.48,0.0,0.43,583074151.89,8157124651.78,1220670.05,8158324678.11,73.53
StorageUnit,Battery Storage,35511.0,35511.0,30204187.55,36518738.42,-6314550.87,0.0,0.21,317390910.88,798322791.0,355571.95,1917636530.0,63.49
