,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26276.03,,26276.03,0.0,1.0,79855161.58,1238808.37,252.08,1362914.86,51.87
Generator,Fixed Bottom Offshore Wind,7619.65,5221.0,38768945.1,,38768945.1,0.0,0.58,27694.91,801162605.76,390613.81,1537494761.88,39.66
Generator,Floating Offshore Wind,0.01,,45.26,,45.26,0.0,0.38,15.84,3807.61,0.43,2482.25,54.81
Generator,Geothermal,2182.0,2182.0,15786429.9,,15786429.9,0.0,0.83,7590291.84,862836622.43,48044360.52,758899110.64,48.07
Generator,Hydrogen Combustion Turbine,110592.59,,48688901.42,,48688901.42,0.0,0.05,920102202.63,10612644709.8,9800590453.88,20413225347.95,419.26
Generator,Nuclear,412919.87,13916.8,2531434611.17,,2531434611.17,0.0,0.7,969885784.94,137797770253.8,29235205664.8,169796684288.32,67.08
Generator,Onshore Wind,283902.16,8266.7,823124495.21,,823124495.21,0.0,0.33,452612480.13,28407729839.56,-10414534758.32,18493724486.61,22.47
Generator,Reservoir & Dam,104965.94,104965.94,282660530.68,,282660530.68,0.0,0.31,3844421.76,19212311500.64,2783185.45,12767916146.67,45.17
Generator,Solar,867953.64,88806.8,1231774167.94,,1231774167.94,0.0,0.16,184727699.84,33389773204.83,12139744.5,37335750621.81,30.31
Generator,Waste,224.3,224.3,1680795.88,,1680795.88,0.0,0.86,14321037.74,,3426209.77,86364591.45,51.38
Link,Ac,1354838.42,1354838.42,1704541541.14,1737541111.25,-32999570.11,1737207280.44,0.15,0.0,10881462872.08,17530669.19,7072823288.14,4.15
Link,Dc,20160.0,20160.0,29561825.46,30748991.93,-1187166.47,30748991.93,0.17,0.0,790521708.43,305268.5,615559625.5,20.82
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-288186767792.97,
StorageUnit,4Hr_Battery_Storage,136461.39,,110803572.7,135449106.78,-24645534.08,0.0,0.21,1220047295.5,10569085102.75,1423563.47,10570492553.15,95.4
StorageUnit,8Hr_Battery_Storage,53743.33,,81968074.52,98105967.59,-16137893.07,0.0,0.38,486929423.71,6844142390.89,917039.82,6845042239.17,83.51
StorageUnit,Battery Storage,35511.0,35511.0,24635803.1,29971667.61,-5335864.51,0.0,0.18,316412224.51,798322791.0,297070.89,1891428746.23,76.78
