,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26272.56,,26272.56,0.0,1.0,79855165.06,1238808.37,252.05,1360171.88,51.77
Generator,Fixed Bottom Offshore Wind,31185.24,5221.0,157747668.45,,157747668.45,0.0,0.58,862524.61,6034617814.55,1591363.12,7084295950.27,44.91
Generator,Floating Offshore Wind,7563.88,,36209114.31,,36209114.31,0.0,0.55,67964.95,2091825416.21,341488.02,2092165818.05,57.78
Generator,Geothermal,2182.0,2182.0,14758745.78,,14758745.78,0.0,0.77,8617976.05,862836622.43,44914362.86,752090829.05,50.96
Generator,Hydrogen Combustion Turbine,139896.28,,68037454.86,,68037454.86,0.0,0.06,1157453923.14,13424673838.45,13695241068.74,27119906067.34,398.6
Generator,Nuclear,365245.05,13916.8,2173211537.81,,2173211537.81,0.0,0.68,926734752.13,121464179973.49,25227507466.34,149458440701.1,68.77
Generator,Onshore Wind,273647.5,8266.7,830114435.54,,830114435.54,0.0,0.35,437139956.04,27407721327.75,-10493796612.94,17560326382.65,21.15
Generator,Reservoir & Dam,104965.94,104965.94,279095742.6,,279095742.6,0.0,0.3,7409211.13,19212311500.64,2746979.85,12754957574.66,45.7
Generator,Solar,960299.24,88806.8,1434745640.98,,1434745640.98,0.0,0.17,205253852.81,37319035522.63,14190026.0,43100664898.43,30.04
Generator,Waste,224.3,224.3,1618174.08,,1618174.08,0.0,0.82,14383659.55,,3298558.68,85906237.97,53.09
Link,Ac,1354838.42,1354838.42,1916481255.72,1954233483.24,-37752227.52,1953781734.33,0.16,0.0,10881462872.08,19720576.28,8353354523.33,4.36
Link,Dc,20160.0,20160.0,33362211.82,34694898.39,-1332686.58,34694898.39,0.2,0.0,790521708.43,345204.79,561855624.95,16.84
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-289934092568.97,
StorageUnit,4Hr_Battery_Storage,139448.22,,160083812.41,191526020.48,-31442208.06,0.0,0.29,1253008621.9,10800418573.24,1815916.93,10802218492.88,67.48
StorageUnit,8Hr_Battery_Storage,65918.68,,140677769.36,166388732.81,-25710963.45,0.0,0.53,603158626.17,8394658293.05,1461240.74,8396100971.96,59.68
StorageUnit,Battery Storage,35511.0,35511.0,31031122.74,36718597.48,-5687474.74,0.0,0.22,316763834.74,798322791.0,318107.53,1810454642.3,58.34
