,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26276.0,,26276.0,0.0,1.0,79855161.63,1238808.37,272.12,1362143.12,51.84
Generator,Fixed Bottom Offshore Wind,7353.16,5221.0,37348807.03,,37348807.03,0.0,0.58,8208.77,741981267.0,372238.83,1465784333.17,39.25
Generator,Floating Offshore Wind,0.03,,113.75,,113.75,0.0,0.46,16.63,7787.5,1.08,6737.04,59.2
Generator,Geothermal,2182.0,2182.0,14704694.16,,14704694.16,0.0,0.77,8672027.73,862836622.43,44741919.18,753807649.29,51.26
Generator,Hydrogen Combustion Turbine,107924.02,,47438491.05,,47438491.05,0.0,0.05,897975922.51,10356564208.98,9548894283.72,19905448703.07,419.61
Generator,Nuclear,402118.81,13916.8,2468037430.18,,2468037430.18,0.0,0.7,941575747.36,134118564478.57,28497847564.59,165382841958.2,67.01
Generator,Onshore Wind,289048.0,8266.7,836461034.45,,836461034.45,0.0,0.33,454717842.85,28947104931.95,-10604610488.28,18825154372.89,22.51
Generator,Reservoir & Dam,104965.94,104965.94,282176115.98,,282176115.98,0.0,0.31,4328838.69,19212311500.64,2809388.36,12741102458.56,45.15
Generator,Solar,916902.35,88806.8,1299143884.61,,1299143884.61,0.0,0.16,193316859.28,35447650171.97,12837454.64,39797650422.58,30.63
Generator,Waste,224.3,224.3,1651123.37,,1651123.37,0.0,0.84,14350710.27,,3365186.69,86015720.95,52.1
Link,Ac,1354838.42,1354838.42,1832215168.65,1868373728.34,-36158559.69,1867830857.56,0.16,0.0,10881462872.08,18848361.84,7173090556.89,3.91
Link,Dc,20160.0,20160.0,32581989.65,33853402.96,-1271413.31,33853402.96,0.19,0.0,790521708.43,337142.6,609639889.87,18.71
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-285839499628.39,
StorageUnit,4Hr_Battery_Storage,131518.28,,137766341.63,165694537.1,-27928195.47,0.0,0.26,1180028365.58,10186236241.02,1594202.81,10187811913.71,73.95
StorageUnit,8Hr_Battery_Storage,55919.63,,108007210.27,129595037.31,-21587827.04,0.0,0.49,511443826.75,7121292535.75,1230517.74,7122503273.42,65.94
StorageUnit,Battery Storage,35511.0,35511.0,30649319.42,37052036.81,-6402717.39,0.0,0.22,317479077.39,798322791.0,354980.45,1787287329.91,58.31
