,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26269.02,,26269.02,0.0,1.0,79855168.59,1238808.37,252.02,1358293.55,51.71
Generator,Fixed Bottom Offshore Wind,30250.46,5221.0,154481755.03,,154481755.03,0.0,0.58,121416.06,5827021589.74,1565211.94,6812676649.45,44.1
Generator,Floating Offshore Wind,4312.24,,20678564.19,,20678564.19,0.0,0.55,3396.4,1192571295.12,195019.76,1192765369.28,57.68
Generator,Geothermal,2182.0,2182.0,13701200.55,,13701200.55,0.0,0.72,9675521.2,862836622.43,41695057.88,760320240.15,55.49
Generator,Hydrogen Combustion Turbine,133933.83,,64569083.9,,64569083.9,0.0,0.06,1108691255.48,12852507710.03,12997094720.5,25849593698.51,400.34
Generator,Nuclear,336116.38,13916.8,1973926047.27,,1973926047.27,0.0,0.67,878260949.74,111528761254.44,22891402627.67,137192710194.24,69.5
Generator,Onshore Wind,270833.32,8266.7,821204324.07,,821204324.07,0.0,0.35,436233341.26,27130520048.74,-10416478277.4,17367170267.65,21.15
Generator,Reservoir & Dam,104965.94,104965.94,276867555.87,,276867555.87,0.0,0.3,9637396.73,19212311500.64,2724013.38,12536341436.65,45.28
Generator,Solar,1137171.45,88806.8,1680904538.18,,1680904538.18,0.0,0.17,244433129.2,44659358213.91,16603475.15,50323661117.35,29.94
Generator,Waste,224.3,224.3,1589715.81,,1589715.81,0.0,0.81,14412117.81,,3240548.06,85826103.46,53.99
Link,Ac,1354838.42,1354838.42,1884224311.4,1921012323.75,-36788012.35,1920685125.24,0.16,0.0,10881462872.08,19398728.98,7316128171.92,3.88
Link,Dc,20160.0,20160.0,37880505.37,39474792.62,-1594287.26,39474792.62,0.22,0.0,790521708.43,392922.52,577478269.26,15.24
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-286638841741.75,
StorageUnit,4Hr_Battery_Storage,60831.09,,79036863.97,93009210.67,-13972346.7,0.0,0.32,546852656.05,4711434699.89,808065.84,4712226940.57,59.62
StorageUnit,8Hr_Battery_Storage,156526.19,,304030934.03,360233828.13,-56202894.11,0.0,0.48,1427372344.05,19933406501.17,3245184.63,19936629568.57,65.57
StorageUnit,Battery Storage,35511.0,35511.0,31615289.75,37367624.83,-5752335.07,0.0,0.22,316828695.07,798322791.0,321975.77,1973959385.93,62.44
