,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p1 biomass,p1,Biomass,0.0,0.0,,,,0.0,,294991.488,0.0,,,
Generator,p1 hydro,p1,Reservoir & Dam,4577.9,4577.9,16679923.321,,16679923.321,0.0,0.416,1384.608,876221789.496,159664.874,712377823.424,42.709
Generator,p1 hydrogen_ct_2050,p1,Hydrogen Combustion Turbine,1184.234,,559206.438,,559206.438,0.0,0.054,9814686.202,113641048.502,112562531.962,226203505.179,404.508
Generator,p1 nuclear_2050,p1,Nuclear,4910.178,,25239056.877,,25239056.877,0.0,0.587,16267267.769,1680769355.573,286945097.207,1967714351.369,77.963
Generator,p1 onwind,p1,Onshore Wind,0.001,,0.612,,0.612,0.0,0.065,0.202,112.575,-7.897,41.278,67.286
Generator,p1 onwind existing,p1,Onshore Wind,0.0,0.0,,,,0.0,,442569.746,0.0,,,
Generator,p1 solar,p1,Solar,16773.164,,26098339.365,,26098339.365,0.0,0.178,36659.197,704652485.746,257589.864,704910204.417,27.01
Generator,p1 solar existing,p1,Solar,11.0,11.0,16390.675,,16390.675,0.0,0.17,748.908,102494.92,165.589,462252.768,28.202
Generator,p10 biomass,p10,Biomass,0.0,0.0,,,,0.0,,2552775.809,0.0,,,
Generator,p10 geothermal,p10,Geothermal,1106.9,1106.9,7097277.672,,7097277.672,0.0,0.732,1234959.388,447768184.622,21911096.001,401422976.521,56.56
Generator,p10 hydro,p10,Reservoir & Dam,2622.61,2622.61,5513001.962,,5513001.962,0.0,0.24,121912.511,487185683.104,60430.928,300623949.418,54.53
Generator,p10 hydrogen_ct_2050,p10,Hydrogen Combustion Turbine,2417.318,,1262281.683,,1262281.683,0.0,0.06,19913423.979,231969760.799,254083546.665,486053248.483,385.059
Generator,p10 nuclear_2050,p10,Nuclear,10136.996,,55773069.213,,55773069.213,0.0,0.628,29916177.993,3469925656.703,634066960.124,4103992552.816,73.584
Generator,p10 offwind,p10,Fixed Bottom Offshore Wind,0.001,,2.784,,2.784,0.0,0.317,0.792,223.71,0.029,165.403,59.0
Generator,p10 onwind,p10,Onshore Wind,0.001,,0.465,,0.465,0.0,0.074,0.135,72.652,-5.997,24.432,55.8
Generator,p10 onwind existing,p10,Onshore Wind,0.0,0.0,,,,0.0,,3483098.474,0.0,,,
Generator,p10 solar,p10,Solar,64773.452,,123562410.038,,123562410.038,0.0,0.218,255292.869,2788943049.285,1142171.262,2790085371.208,22.58
Generator,p10 solar existing,p10,Solar,0.0,0.0,,,,0.0,,34674946.297,0.0,,,
Generator,p100 biomass,p100,Biomass,0.0,0.0,,,,0.0,,17520.0,0.0,,,
Generator,p100 hydro,p100,Reservoir & Dam,3.852,3.852,7277.948,,7277.948,0.0,0.216,61.977,690815.011,76.114,307927.343,42.309
Generator,p100 hydrogen_ct_2050,p100,Hydrogen Combustion Turbine,73.057,,39382.545,,39382.545,0.0,0.062,600596.25,7010662.602,7927306.637,14937893.5,379.303
Generator,p100 nuclear_2050,p100,Nuclear,238.135,,1581723.459,,1581723.459,0.0,0.758,431260.094,81514349.842,17982269.488,99496498.063,62.904
Generator,p100 onwind,p100,Onshore Wind,0.001,,0.506,,0.506,0.0,0.095,0.148,64.338,-6.532,20.12,38.333
Generator,p100 solar,p100,Solar,1736.033,,2598956.129,,2598956.129,0.0,0.171,281.167,72364399.127,26123.208,92237243.859,35.49
Generator,p100 solar existing,p100,Solar,218.9,218.9,327620.967,,327620.967,0.0,0.171,122.328,2039648.908,2987.692,11630372.452,35.499
Generator,p101 biomass,p101,Biomass,0.0,0.0,,,,0.0,,3484493.638,0.0,,,
Generator,p101 hydrogen_ct_2050,p101,Hydrogen Combustion Turbine,5559.953,,2204800.12,,2204800.12,0.0,0.045,46500391.984,533542161.133,443802080.848,977344196.377,443.28
Generator,p101 nuclear_2050,p101,Nuclear,16157.349,,123378985.893,,123378985.893,0.0,0.872,13201034.529,5530711641.312,1402648932.135,6933360552.799,56.196
Generator,p101 offwind,p101,Fixed Bottom Offshore Wind,0.001,,1.677,,1.677,0.0,0.284,0.616,149.04,0.018,85.238,51.211
Generator,p101 onwind,p101,Onshore Wind,0.001,,1.461,,1.461,0.0,0.117,0.481,148.678,-18.867,66.638,44.765
Generator,p101 solar,p101,Solar,31762.21,,46445456.028,,46445456.028,0.0,0.167,1107176.735,1298008903.274,459461.522,1298468326.296,27.957
Generator,p101 solar existing,p101,Solar,7477.0,7477.0,11192500.593,,11192500.593,0.0,0.171,1652.248,69668592.44,104659.993,305669175.632,27.31
Generator,p101 waste,p101,Waste,0.0,0.0,,,,0.0,,2011278.48,0.0,,,
Generator,p102 biomass,p102,Biomass,0.0,0.0,,,,0.0,,1072654.464,0.0,,,
Generator,p102 hydrogen_ct_2050,p102,Hydrogen Combustion Turbine,1151.228,,329856.907,,329856.907,0.0,0.033,9754901.841,110473724.557,66396586.843,176870243.629,536.203
Generator,p102 nuclear,p102,Nuclear,10143.473,,43061522.351,,43061522.351,0.0,0.485,44495510.264,3385090118.424,563262807.245,3948352879.564,91.691
Generator,p102 nuclear existing,p102,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p102 nuclear_2050,p102,Nuclear,0.022,,163.633,,163.633,0.0,0.845,23.206,7565.893,1860.308,9347.575,57.124
Generator,p102 offwind,p102,Fixed Bottom Offshore Wind,0.001,,1.491,,1.491,0.0,0.283,0.612,132.753,0.016,71.726,48.176
Generator,p102 onwind,p102,Onshore Wind,0.004,,6.176,,6.176,0.0,0.198,0.765,368.015,-79.736,221.239,35.577
Generator,p102 solar,p102,Solar,38054.792,,55764147.984,,55764147.984,0.0,0.167,1275079.147,1555164409.768,575864.396,1555740318.211,27.899
Generator,p102 solar existing,p102,Solar,2099.3,2099.3,3130136.125,,3130136.125,0.0,0.17,16443.931,19560689.596,31996.399,85823258.267,27.418
Generator,p102 waste,p102,Waste,224.3,224.3,1589715.807,,1589715.807,0.0,0.809,99040.894,,3240548.058,85826103.461,53.988
Generator,p103 biomass,p103,Biomass,0.0,0.0,,,,0.0,,2512923.569,0.0,,,
Generator,p103 hydro,p103,Reservoir & Dam,2312.34,2312.34,3106385.629,,3106385.629,0.0,0.153,186494.774,414646990.055,30205.181,106079721.682,34.149
