,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26042.9,,26042.9,0.0,0.99,79855394.71,1238808.37,269.71,1355639.42,52.05
Generator,Fixed Bottom Offshore Wind,12551.29,5221.0,63823582.15,,63823582.15,0.0,0.58,37679.34,1896382721.16,627117.05,2728727244.41,42.75
Generator,Floating Offshore Wind,4797.32,,24322156.49,,24322156.49,0.0,0.58,1615.17,1326721995.75,227423.0,1326947810.36,54.56
Generator,Geothermal,2182.0,2182.0,15484909.13,,15484909.13,0.0,0.81,7891812.62,862836622.43,47117511.52,758088421.75,48.96
Generator,Hydrogen Combustion Turbine,133623.71,,61046020.71,,61046020.71,0.0,0.05,1109497639.39,12822747783.54,12287957813.68,25110693755.51,411.34
Generator,Nuclear,411507.37,13916.8,2537359548.57,,2537359548.57,0.0,0.7,952238049.41,137308662207.33,29309592022.76,169380281470.34,66.75
Generator,Onshore Wind,243261.11,8266.7,703124514.71,,703124514.71,0.0,0.33,429204026.38,24235007796.8,-8833789947.11,16034503439.97,22.8
Generator,Reservoir & Dam,104965.94,104965.94,282506313.38,,282506313.38,0.0,0.31,3998639.04,19212311500.64,2813080.59,12617729206.5,44.66
Generator,Solar,890418.25,88806.8,1284467903.36,,1284467903.36,0.0,0.16,194900222.45,34374582404.1,12763376.48,38190449139.95,29.73
Generator,Waste,224.3,224.3,1680585.36,,1680585.36,0.0,0.86,14321248.26,,3425233.75,86357019.87,51.39
Link,Ac,1354838.42,1354838.42,1693853902.44,1727384245.52,-33530343.07,1726839164.36,0.15,0.0,10881462872.08,17426688.19,6851121978.6,4.04
Link,Dc,20160.0,20160.0,31967722.57,33179832.99,-1212110.42,33179832.99,0.19,0.0,790521708.43,331026.13,658865434.17,20.61
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-292729969796.35,
StorageUnit,4Hr_Battery_Storage,137051.35,,121650244.43,145785626.94,-24135382.52,0.0,0.22,1224705217.77,10614778369.99,1374311.36,10616134156.89,87.27
StorageUnit,8Hr_Battery_Storage,50682.07,,89181601.47,105903574.66,-16721973.2,0.0,0.44,460696898.05,6454295385.4,965504.5,6455238833.56,72.38
StorageUnit,Battery Storage,35511.0,35511.0,24009548.64,28612157.86,-4602609.22,0.0,0.17,315678969.22,798322791.0,254692.7,1913479196.92,79.7
