,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p103 hydro,p103,Reservoir & Dam,2312.34,2312.34,3292453.911,,3292453.911,0.0,0.163,426.49,414646990.055,33207.616,100018189.221,30.378
Generator,p103 hydrogen_ct_2050,p103,Hydrogen Combustion Turbine,4233.536,,1567084.568,,1567084.568,0.0,0.042,35518687.956,406256958.753,315437577.919,721694471.381,460.533
Generator,p103 nuclear,p103,Nuclear,0.006,,30.761,,30.761,0.0,0.548,22.597,2291.113,409.337,2469.053,80.302
Generator,p103 nuclear existing,p103,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p103 nuclear_2050,p103,Nuclear,8838.305,,59665580.785,,59665580.785,0.0,0.771,15045679.167,3025379802.086,678374832.317,3703754596.419,62.075
Generator,p103 onwind,p103,Onshore Wind,0.008,,17.313,,17.313,0.0,0.24,1.619,850.058,-223.521,497.517,28.682
Generator,p103 onwind existing,p103,Onshore Wind,0.0,0.0,,,,0.0,,8016240.893,0.0,,,
Generator,p103 solar,p103,Solar,28696.748,,39222648.738,,39222648.738,0.0,0.156,63132.927,1229025272.088,411047.297,1358348112.867,34.632
Generator,p103 solar existing,p103,Solar,2391.4,2391.4,3273207.226,,3273207.226,0.0,0.156,613.871,22282395.608,33260.454,113195901.759,34.583
Generator,p103 waste,p103,Waste,0.0,0.0,,,,0.0,,137496.96,0.0,,,
Generator,p104 biomass,p104,Biomass,0.0,0.0,,,,0.0,,75321.984,0.0,,,
Generator,p104 hydro,p104,Reservoir & Dam,34.642,34.642,73401.695,,73401.695,0.0,0.242,44.612,6212026.89,774.794,2938327.493,40.031
Generator,p104 hydrogen_ct_2050,p104,Hydrogen Combustion Turbine,281.324,,104470.484,,104470.484,0.0,0.042,2359927.607,26996306.279,21028903.606,48025127.25,459.701
Generator,p104 nuclear,p104,Nuclear,0.007,,30.649,,30.649,0.0,0.535,24.452,2336.35,407.815,2513.933,81.994
Generator,p104 nuclear existing,p104,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p104 nuclear_2050,p104,Nuclear,835.06,,5601469.31,,5601469.31,0.0,0.766,1457396.27,285843785.335,63687043.392,349530741.462,62.4
Generator,p104 onwind,p104,Onshore Wind,0.004,,8.012,,8.012,0.0,0.213,1.268,440.836,-103.428,219.484,27.538
Generator,p104 solar,p104,Solar,1805.491,,2524340.833,,2524340.833,0.0,0.16,67.457,77325632.421,26446.478,89328460.182,35.387
Generator,p104 solar existing,p104,Solar,0.0,0.0,,,,0.0,,7829.829,0.0,,,
Generator,p105 biomass,p105,Biomass,0.0,0.0,,,,0.0,,362664.0,0.0,,,
Generator,p105 hydro,p105,Reservoir & Dam,27.298,27.298,126165.99,,126165.99,0.0,0.528,20.041,4895056.663,1195.417,7548227.15,59.828
Generator,p105 hydrogen_ct_2050,p105,Hydrogen Combustion Turbine,3086.923,,1599669.906,,1599669.906,0.0,0.059,25441777.036,296226160.264,321998895.27,618224985.023,386.47
Generator,p105 nuclear_2050,p105,Nuclear,4982.295,,34394577.48,,34394577.48,0.0,0.788,7721359.908,1705455193.827,391066291.009,2096521432.716,60.955
Generator,p105 onwind,p105,Onshore Wind,0.016,,38.703,,38.703,0.0,0.273,1.854,1687.775,-499.64,1060.086,27.378
Generator,p105 onwind existing,p105,Onshore Wind,0.0,0.0,,,,0.0,,9603086.236,0.0,,,
Generator,p105 solar,p105,Solar,8287.153,,11659334.477,,11659334.477,0.0,0.161,22.893,350858475.014,113134.472,392267543.221,33.644
Generator,p105 solar existing,p105,Solar,3894.2,3894.2,5478802.147,,5478802.147,0.0,0.161,24.081,36285065.224,59759.455,184329671.077,33.644
Generator,p106 hydrogen_ct_2050,p106,Hydrogen Combustion Turbine,475.111,,228777.147,,228777.147,0.0,0.055,3933199.082,45592465.518,46050331.081,91642714.212,400.576
Generator,p106 nuclear_2050,p106,Nuclear,2421.836,,17291618.032,,17291618.032,0.0,0.815,3180455.43,829002182.501,196581094.976,1025583211.24,59.311
Generator,p106 onwind,p106,Onshore Wind,0.004,,7.406,,7.406,0.0,0.202,1.226,436.981,-95.615,227.457,30.553
Generator,p106 solar,p106,Solar,519.398,,729683.241,,729683.241,0.0,0.16,15.574,21990087.209,7081.25,24694717.883,33.843
Generator,p106 solar existing,p106,Solar,0.0,0.0,,,,0.0,,131638.496,0.0,,,
Generator,p106 waste,p106,Waste,0.0,0.0,,,,0.0,,43786.86,0.0,,,
Generator,p107 biomass,p107,Biomass,0.0,0.0,,,,0.0,,17965.133,0.0,,,
Generator,p107 hydro,p107,Reservoir & Dam,172.518,172.518,763818.639,,763818.639,0.0,0.505,23.364,30935796.959,7593.409,45917620.375,60.116
Generator,p107 hydrogen_ct_2050,p107,Hydrogen Combustion Turbine,354.851,,200168.203,,200168.203,0.0,0.064,2908327.746,34052091.267,40291977.517,74343985.645,371.408
Generator,p107 nuclear_2050,p107,Nuclear,2264.506,,15093514.472,,15093514.472,0.0,0.761,4048624.136,775147408.17,171596638.088,946743974.272,62.725
Generator,p107 onwind,p107,Onshore Wind,0.002,,2.822,,2.822,0.0,0.137,0.819,243.512,-36.436,96.103,34.281
Generator,p107 solar,p107,Solar,7161.686,,10205458.417,,10205458.417,0.0,0.163,24.664,303208859.384,108220.225,335241960.192,32.849
Generator,p107 solar existing,p107,Solar,1264.7,1264.7,1802187.607,,1802187.607,0.0,0.163,24.198,11784120.484,18652.768,59201190.776,32.85
Generator,p108 biomass,p108,Biomass,0.0,0.0,,,,0.0,,501452.16,0.0,,,
Generator,p108 hydrogen_ct_2050,p108,Hydrogen Combustion Turbine,0.022,,12.179,,12.179,0.0,0.064,178.701,2091.004,2451.6,4436.41,364.345
Generator,p108 nuclear_2050,p108,Nuclear,2045.75,,13923410.485,,13923410.485,0.0,0.777,3369563.017,700266770.812,158296446.372,858563144.487,61.663
Generator,p108 onwind,p108,Onshore Wind,0.002,,2.133,,2.133,0.0,0.118,0.682,210.768,-27.536,81.264,38.667
Generator,p108 solar,p108,Solar,3371.548,,4848838.593,,4848838.593,0.0,0.164,69.719,140538857.532,47500.56,154030222.136,31.766
Generator,p108 solar existing,p108,Solar,410.0,410.0,589598.312,,589598.312,0.0,0.164,57.377,3820265.2,5715.324,18730950.787,31.769
Generator,p109 biomass,p109,Biomass,0.0,0.0,,,,0.0,,167978.208,0.0,,,
Generator,p109 hydro,p109,Reservoir & Dam,412.311,412.311,785499.128,,785499.128,0.0,0.217,65.397,73935354.372,7841.152,34332835.133,43.708
Generator,p109 hydrogen_ct_2050,p109,Hydrogen Combustion Turbine,732.048,,425656.874,,425656.874,0.0,0.066,5987082.924,70248507.452,85680826.699,155929254.477,366.326
